physical asset,location,ownership,commodity,status,Countries
Sonora River Water Restitution System In Moritas Basin,"Mexican Projects, Sonora River Basin",Southern Copper Corporation,"Copper,Water 



Let me know if you'd like me to process another cell!","Operational,Under Construction",Mexico
Off-Road Facility,La Caridad 91 Copper Concentrator,Southern Copper Corporation,Ore,Operational,Mexico
Peruvian Open-Pit Operations,"Peru, Andes Range, El Arco, Buenavista, La Caridad, Apurimac, Cajamarca",,"Copper, Gold, Lead, Molybdenum, Silver, Zinc","Operational, Under Construction, Suspended",Peru
Mine Development Areas,"Peru, Mexico",Southern Copper Corporation,Copper,Under Construction,"Peru, Mexico"
Tailings Impoundments,,Southern Copper Corporation  ownership,"Copper, Zinc, Other Metals",Operational,
Underground Crusher Station,Underground Mine,,"Copper, Zinc, Lead","Operational 


Let me know when you're ready for the next cell!",
Gyratory Crushers,"Concentrator Plant, Toquepala Mine",,"Copper, Copper Ore",Operational,Peru
Blister Copper Cakes,"Smelter, Ilo",Southern Copper Corporation,Copper,Operational,Peru
Casting Machine,Copper Rod Plant,,Copper,Operational,
Rolling Mill,"Copper Rod Plant, Santa Barbara, El Arco Mill, El Pilar, Pilares Mill, Cuajone, Toquepala, Buenavista Mill, La Caridad Mill, El Pilar Property, Ilo",,"Copper, Molybdenum",Operational,"Peru, Mexico"
Transmission Lines,"Cuajone Area, Peru",Southern Copper Corporation,"Power, Electricity Distribution, Electricity",Operational,Peru
Spur Railway,"Toquepala, Cuajone",Southern Copper Corporation,Ore Transport,Operational,Peru
Sea Water Intake,Ilo Smelter Plant,Southern Copper Corporation,,Operational,Peru
Desalination Plants,"Ilo Smelter Plant, Peru, Mexico",Southern Copper Corporation,"Desalinated Water, Copper",Operational,"Peru, Mexico"
Radar System,Buenavista Mine,,,Operational,Mexico
Leach Pad Or Concentrator,"La Caridad Mine, El Pilar Property","Southern Copper Corporation, Recursos Stingray de Cobre S.A de C.V","Ore, Copper",Operational,Mexico
Modernized 21 Ovens Coke Facility,"Coahuila, Mexico",Southern Copper Corporation,Coke,Closed  Since September 2017,Mexico
Santa Eulalia Mine,Atacama Region,,Sulfur,,Chile
Campo Medio Area,Atacama Region,,,,Chile
El Salado (Montonero) Mine,Atacama Region,,"Copper,Molybdenum",,Chile
Taruca Prospect,"Atacama Region, Province of Huasco",,Copper,,Chile
Pajonal Prospect,Atacama Region,,,,Chile
"Ruta Del Cobre (""Copper Road"") Project","West of Cuenca City, South of Guayaquil",,"Copper,Molybdenum",,Ecuador
Cerro La Mina Prospect,Rio Negro Province,,,,Argentina
Tanque Negro Prospect,Rio Negro Province,,,,Argentina
La Hoyada Prospect,Catamarca,,,,Argentina
La Chilena Prospect,Catamarca,,,,Argentina
SX-EW Facilities  of The Caridad Operation,"Sonora, Mexico",Southern Copper Corporation,Copper,Operating,Mexico
Maritime Terminal Of Guaymas,Guaymas,Southern Copper Corporation,Copper,Operational,Mexico
Metallurgical Plant Complex In Sonora,"Sonora, Peru",Southern Copper Corporation,Copper,Operational,Peru
Wastewater Treatment Plant,Ilo Province,Southern Copper Corporation,Wastewater Treatment,Under Construction,Peru
Contingency Dam Curtain,Sonora River Basin,BVC,Water,Operational,Mexico
Windfarm,"Oaxaca, Mexico","Mexico Generadora De Energia Eolica, S. De R.L. De C.V. ",Energy,Operational,Mexico
Hydro-Generating Facilities,Cuajone,Southern Copper Corporation,Electricity,Operational,Peru
Desalination Plants,"Ilo, Peru; Central And Northern Mexico",Southern Copper Corporation,"Water, Copper, Electricity",Operational,"Peru, Mexico"
Locumba River Surface Water Permit,"Locumba, Ite","Southern Copper Corporation 


Let me know when you're ready for the next cell!",,Operational,Peru
La Angostura Dam,"Near The Mine And Plants, Quebrada Honda, Sonora River Basin",,Water,"Operational, In Progress, Under Construction",Mexico
Power Plants,"Mexico, Peru, Central and Northern Mexico","MGE (Grupo Mexico Subsidiary), Southern Copper Corporation, Mexican IMMSA Unit","Electricity Generation,Copper",Operational,"Mexico, Peru"
Pipeline,"Between Douglas, Arizona and Nacozari, Sonora",Southern Copper Corporation,Natural Gas  Transportation,Operational,"United States, Mexico"
"Equipment, Geotechnical Instrumentation","Toquepala Mine, Quebrada Honda",Inersia Company,Mining,Under Construction,Peru
Production Control Section,Ilo Refinery,Southern Copper Corporation,Copper,Operational,Peru
Locomotives,Ilo,Southern Copper Corporation,Copper,Operational,Peru
Track System,Ilo,Southern Copper Corporation,Copper,Operational,Peru
Pit  Shell,"Andes Range, Southern Peru, Toquepala",Southern Copper Corporation,Copper,"Under Construction, Operational",Peru
Quartz Veins,"Western Cordillera Of The Andes, Northwest Peru",,Copper,Operational,Peru
Homogenizer Tanks,"Buenavista, Surface",Buenavista,"Copper,Molybdenum,Fuel",Operational,Mexico
Holo-Flite Dryer,Buenavista,Buenavista,"Copper,Molybdenum 


Let me know when you'd like to process the next cell! ð",Operational,Mexico
Two sulfuric acid plants,"La Caridad Complex, La Caridad, Ilo Smelter Plant, Peruvian Projects",,"Copper, Gold, Lead, Zinc",Operational,"Peru, Mexico"
San Marcial Vein,Central Mesa of Mexico,,Copper,Operational,Mexico
Ibarra Vein,Central Mesa of Mexico,,Zinc,Operational,Mexico
Gallo-Gallina Vein,Central Mesa of Mexico,,Lead,Operational,Mexico
Residual Water Treatment Plant,"Ilo, Moquegua Region",Southern Copper Corporation,Water Management,Under Construction,Peru
Cathodes ,"Buenavista Mine, Refinery, Asia","Asarco Llc, Mitsui",Copper,Operational,Mexico
Eolica El Retiro Wind Farm with 37 Wind Turbines,"Oaxaca, Mexico",Grupo Mexico,Electricity,Operational,Mexico
Tantahuatay Gold Mine,Northern Peru,CompaÃÂÃÂ±ia Minera Coimolache S.A.,Gold,Operational,Peru
Pucay Prospect,"Arequipa, Peru",Apu Coropuna S.R.L.,,,Peru
