Name,Asset Type,Location,Commodity,Operating Company,Status
Garjanbahal OP Coal Deposit,Coal Mine,India,Coal,Mahanadi Coalfields Ltd,Feasibility
Ukrinvest Coal Mine,Coal Mine,Ukraine,Coal,Ukrinvest Production Commercial Private Co,Normal Operation
Promin Coal Mine,Coal Mine,Ukraine,Coal,Promin Coal Mine Private Enterprise,Normal Operation
No 22 Coal Mine,Coal Mine,United States,Coal,Clearwater Natural Resources LP,Normal Operation
Bogdanka Coal Mine,Coal Mine,Poland,Coal,Lubelski Wegiel Bogdanka Ojsc,Normal Operation
Vizeyskaya Coal Mine,Coal Mine,Ukraine,Coal,Lvovugol State Enterprise,Normal Operation
Band Mill 2 Coal ( Export ),Coal Mine,United States,Coal,Cumberland River Coal Co,Planned
Roytown Deep Coal Mine,Coal Mine,United States,Coal,Citicorp Venture Capital Ltd,Normal Operation
Sosnica-Makoszowy 34 Metallurgical Coal Mine,Coal Mine,Poland,Coal,Sosnica-Makoszowy Coal Mine,Temporarily Closed
Banko Barat Coal Mine,Coal Mine,Indonesia,Coal,Bukit Asam Tbk PT,Normal Operation
Stones Chapel Coal Mine,Coal Mine,United States,Coal,American Mining & Manufacturing,Normal Operation
Twilight Coal Mine,Coal Mine,United States,Coal,Alpha Appalachia Holdings Inc,Normal Operation
Jim Bridger Coal Mine,Coal Mine,United States,Coal,Jim Bridger Coal Co,Normal Operation
Duncan Coal Mine,Coal Mine,Australia,Coal,Cornwall Coal Co NL,Normal Operation
Dulin Coal Mine,Coal Mine,United States,Coal,Reed Mining Inc,Normal Operation
Deer Run Coal Mine,Coal Mine,United States,Coal,Natural Resource Partners LP,Under Construction
Poplar Grove,Coal Mine,Australia,Coal,Paringa Resources Ltd,Normal Operation
Khwezela,Coal Mine,South Africa,Coal,Thungela Resources Ltd,Normal Operation
Consbrey Coal Deposit,Coal Mine,South Africa,Coal,Xstrata Coal South Africa Pty Ltd,Conceptual project
La Francia II Coal Mine,Coal Mine,Colombia,Coal,Cia Carbones Del Cesar Sa,Feasibility
Huguenot,Coal Mine,Canada,Coal,Colonial Coal International Corp,Prefeasibility
State Industries Coal Mine,Coal Mine,United States,Coal,State Industries Inc,Normal Operation
Khar Tarvaga Coal Deposit,Coal Mine,Mongolia,Coal,Xanadu Mines Ltd,Conceptual project
Job No 42 Coal Mine,Coal Mine,United States,Coal,Premier Elkhorn Coal Mines,Normal Operation
Mbila Anthracite Coal Deposit,Coal Mine,South Africa,Coal,ZYL Ltd,Feasibility
Koyl Coal Mine,Coal Mine,Ukraine,Coal,Koyl As Private Enterprise,Normal Operation
Bull Creek Coal Mine,Coal Mine,United States,Coal,Pritchard Mining Co Inc,Temporarily Closed
XMV Mine No 37 Coal Mine,Coal Mine,United States,Coal,ArcelorMittal Princeton,Normal Operation
Bee Creek (New Hope) Coal Deposit,Coal Mine,Australia,Coal,New Hope Coal Australia,Conceptual project
Raven Coal Deposit,Coal Mine,Canada,Coal,Comox Joint Venture,Feasibility
Stockton Colliery Coal Mine,Coal Mine,United States,Coal,Atlantic Coal plc,Normal Operation
Logansport Coal Mine,Coal Mine,United States,Coal,Rosebud Mining Co,Normal Operation
Big Branch (Cheyenne) Coal Mine,Coal Mine,United States,Coal,Royal Coal Corp,Normal Operation
Utikomst Colliery,Coal Mine,South Africa,Coal,MC Mining Ltd,Normal Operation
Jacks Branch Buffalo Ck Coal Mine,Coal Mine,United States,Coal,Spartan Mining Co,Temporarily Closed
Tong Gong Coal Mine,Coal Mine,China (Mainland),Coal,US China Mining Group Inc,Normal Operation
Copley Trace Coal Mine,Coal Mine,United States,Coal,Argus Energy LLC,Temporarily Closed
Svyato-Nikolayevskaya Coal Mine,Coal Mine,Ukraine,Coal,Ugledobycha Llc,Normal Operation
Impumelelo Coal Deposit,Coal Mine,South Africa,Coal,Secunda Coal Mines,Under Construction
La Tabaquera Coal Deposit,Coal Mine,Colombia,Coal,New Colombia Resources Inc,Under Construction
Amlai OP Coal Mine,Coal Mine,India,Coal,South Eastern Coalfields Ltd,Normal Operation
Hubble No 2 Coal Mine,Coal Mine,United States,Coal,Hubble Mining Co,Normal Operation
Uglespetspostavka Coal Mine,Coal Mine,Ukraine,Coal,Uglespetspostavka Llc,Normal Operation
Bars Coal Mine,Coal Mine,Ukraine,Coal,Bars Invest Llc,Normal Operation
Ibbenburen Coal Mine,Coal Mine,Germany,Coal,Deutsche Steinkohle AG,Normal Operation
Luganskoye Coal Mines,Coal Mine,Ukraine,Coal,Luganskoye Mining Department,Normal Operation
Rovenkiantraciteugle Service Coal Mine,Coal Mine,Ukraine,Coal,Rovenkiantraciteugle Service LLC,Normal Operation
Amlo Coal Mine,Coal Mine,India,Coal,Central Coalfields Ltd,Normal Operation
Redstar Coal Mine,Coal Mine,United States,Coal,Cherokee Mining Inc,Normal Operation
Multi Tambangjaya Utama,Coal Mine,Indonesia,Coal,Indika Energy Tbk PT,Normal Operation
Barro Branco Coal Mine,Coal Mine,Brazil,Coal,Industria Carbonifera Rio Deserto Ltd,Normal Operation
Nuurst Coal Deposit,Coal Mine,Mongolia,Coal,Modun Resources Ltd,Prefeasibility
Tsagaan Tolgoi (White Hill) Coal Deposit,Coal Mine,Mongolia,Coal,SouthGobi Resources Ltd,Feasibility
Wolf Creek Coal Mine,Coal Mine,United States,Coal,Martin County Coal Mines,Temporarily Closed
Xinzhuangzi Coal Mine,Coal Mine,China (Mainland),Coal,Huainan Mining Group,Normal Operation
Xinglong Coal Mines,Coal Mine,China (Mainland),Coal,Xinglong Mining Group,Normal Operation
Miller Creek Complex Coal Mine,Coal Mine,United States,Coal,CONSOL Energy Inc,Normal Operation
Kiyzassky open pit coal mine,Coal Mine,Russia,Coal,Kiyzassky open pit coal mine,Normal Operation
Dingess Tunnel No 1 Deep Coal Mine,Coal Mine,United States,Coal,Alpha & Omega Coal Co LLC,Temporarily Closed
Novovolynskaya No9 Coal Mine,Coal Mine,Ukraine,Coal,Volyn'vuhillia DP,Normal Operation
Doly Nastup Tusimice Coal Mines,Coal Mine,Czech Republic,Coal,Severoceske Doly as,Normal Operation
Somerville-Donkin Coal Deposit,Coal Mine,South Africa,Coal,Universal Coal Plc,Conceptual project
Grootegeluk West Coal Deposit,Coal Mine,South Africa,Coal,Exxaro Resources Ltd,Normal Operation
Cumnock No 1 Thermal Coal Mine,Coal Mine,Australia,Coal,Cumnock No 1 Coal Mine,Normal Operation
Severnaya 1 Coal Mine,Coal Mine,Ukraine,Coal,Snezhnoyeantratsit State Enterprise,Temporarily Closed
Richland No 9 Coal Mine,Coal Mine,United States,Coal,Pleasant View Mining Co Inc,Normal Operation
Quinsam Coal Mine,Coal Mine,Canada,Coal,Hillsborough Resources Ltd,Normal Operation
Uglemash Coal Mine,Coal Mine,Ukraine,Coal,Uglemash Llc,Temporarily Closed
Togara South Coal Deposit,Coal Mine,Australia,Coal,BHP Billiton Energy Coal Australia Pty Ltd,Conceptual project
Dora 8 Coal Mine,Coal Mine,United States,Coal,AMFIRE Mining Company LLC,Temporarily Closed
Grassy Creek No 1 Coal Mine,Coal Mine,United States,Coal,White Buck Coal Co,Normal Operation
Endesa Coal Mines,Coal Mine,Spain,Coal,Endesa SA,Normal Operation
Hunts Branch Freeburn Coal Mine,Coal Mine,United States,Coal,CAM (Central Appalachian Mining) Coal Mines,Normal Operation
Troyanovo No 1 Coal Mine,Coal Mine,Bulgaria,Coal,Maritsa-Iztok Mines Inc,Normal Operation
Mangidayugol Coal Mine,Coal Mine,Russia,Coal,Mangidayugol Jsc,Normal Operation
Deep No 26 Coal Mine,Coal Mine,United States,Coal,Paramont Coal Mines,Normal Operation
Rohini Coal Mine,Coal Mine,India,Coal,Central Coalfields Ltd,Normal Operation
River Hill Coal Mine,Coal Mine,United States,Coal,River Hill Coal Co Inc,Normal Operation
Helam (Fissure) Diamond Mine,Coal Mine,South Africa,Coal,Petra Diamonds Ltd,Normal Operation
Crown No 4 Coal Mine,Coal Mine,United States,Coal,Patriot Mining Co Inc,"Project, no spec"
Redhawk Coal Mine,Coal Mine,United States,Coal,ArcelorMittal Princeton,Normal Operation
Dorchester No 4 Coal Mine,Coal Mine,United States,Coal,Dorchester Enterprises Inc,Normal Operation
Mt Owen,Coal Mine,Australia,Coal,MT Owen Pty Ltd,Normal Operation
Abayskaya Coal Mine,Coal Mine,Kazakhstan,Coal,Karaganda (Mittal) Coal Mines,Normal Operation
Carroll Hollow Coal Mine,Coal Mine,United States,Coal,Sterling Mining Corporation,Normal Operation
Van Lear Coal Mine,Coal Mine,United States,Coal,Pontiki Coal  LLC,Temporarily Closed
Leandra North Coal Deposit,Coal Mine,South Africa,Coal,BHP Billiton Energy Coal South Africa Ltd,Conceptual project
Tommy Creek No 1 Coal Mine,Coal Mine,United States,Coal,North Star Mining LLC,Normal Operation
Lomovatskaya Coal Mine,Coal Mine,Ukraine,Coal,Luganskugol State Holding Co,Normal Operation
Gorky Coal Mine,Coal Mine,Ukraine,Coal,Ministry Of Coal Industry (Ukraine),Normal Operation
Shanmushu Coal Mine,Coal Mine,China (Mainland),Coal,Furong Group,Normal Operation
Karakansky-Zapadny Coal Mine,Coal Mine,Russia,Coal,Belovskaya Mine CJSC,Normal Operation
Aminteon Field Coal Mine,Coal Mine,Greece,Coal,Public Power Corp SA,Normal Operation
Yuzhno-donbasskaya No1 Coal Mine,Coal Mine,Ukraine,Coal,Yuzhno Donbasskoye No1 Mining Department Se,Normal Operation
Umcebo Coal Mines,Coal Mine,South Africa,Coal,Umcebo Mining (Pty) Ltd,Normal Operation
Nowa Ruda Coal Deposit,Coal Mine,Poland,Coal,Balamara Resources Ltd,Temporarily Closed
Lindbergh Coal Mine,Coal Mine,United States,Coal,C & H Mining Co Inc,Temporarily Closed
Corinth Coal Mine,Coal Mine,United States,Coal,Warrior Investment Co Inc,Normal Operation
Poplar Ridge No 1 Coal Mine,Coal Mine,United States,Coal,Dickenson-Russell Coal Co LLC,Normal Operation
Mill Branch Coal Mine,Coal Mine,United States,Coal,Nally & Hamilton Enterprises Inc,Temporarily Closed
Teruel (Endesa) Coal Mines,Coal Mine,Spain,Coal,Endesa Coal Mines,Normal Operation
Taibinsky open pit coal mine,Coal Mine,Russia,Coal,Taibinsky open pit coal mine,Normal Operation
Mooifontein Coal Deposit,Coal Mine,South Africa,Coal,Continental Coal Ltd,Conceptual project
"Severnaya, Dzerzhinsk Coal Mine",Coal Mine,Ukraine,Coal,Dzerzhinskugol Coal Mines,Normal Operation
JWR No 3 Coal Mine,Coal Mine,United States,Coal,Covol Engineered Fuels LC,Normal Operation
Geronimo Coal Mine,Coal Mine,United States,Coal,Pbs Coals Corp,Normal Operation
BSMDCL Coal Mine,Coal Mine,India,Coal,Jharkhand State Mineral Development Corporation Ltd,Normal Operation
White Queen Coal Mine,Coal Mine,United States,Coal,Marfork Coal Co Inc,Temporarily Closed
Vostochny open pit coal mine,Coal Mine,Russia,Coal,Salek,Normal Operation
Ravensworth North Coal Mine,Coal Mine,Australia,Coal,Ravensworth Operations Pty Ltd,Normal Operation
Calenturitas Coal Mine,Coal Mine,Colombia,Coal,Prodeco Group,Normal Operation
Sibouc Coal Mine,Coal Mine,Serbia,Coal,Korporata Energjetike e Kosoves,Under Construction
Asam-Asam Coal Mine,Coal Mine,Indonesia,Coal,Arutmin Indonesia PT,Normal Operation
Abakumov Coal Mine,Coal Mine,Ukraine,Coal,Donetsk Coal Energy Company State Enterprise,Normal Operation
Narley Coal Mine,Coal Mine,United States,Coal,Best Coal Inc,Normal Operation
Caroona Coal Deposit,Coal Mine,Australia,Coal,BHP Billiton Energy Coal Australia Pty Ltd,Conceptual project
Pokoj 33 Thermal Coal Mine,Coal Mine,Poland,Coal,Pokoj Coal Mine,Normal Operation
Red Cedar Coal Mine,Coal Mine,United States,Coal,Endurance Mining,Temporarily Closed
Bushranger Coal Deposit,Coal Mine,Australia,Coal,,"Project, no spec"
Fork Creek No 3 Coal Mine,Coal Mine,United States,Coal,Coal River Mining LLC,Normal Operation
"Artem, Dzerzhinskugol Coal Mine",Coal Mine,Ukraine,Coal,Dzerzhinskugol Coal Mines,Temporarily Closed
Skochinsky Coal Mine,Coal Mine,Ukraine,Coal,Donetsk Coal Energy Company State Enterprise,Normal Operation
Amasra Coal Mine,Coal Mine,Turkey,Coal,Turkish Hard Coal Enterprise (Turkiye Taskömürü Kurumu),Normal Operation
Oxford No 2 Coal Mine,Coal Mine,United States,Coal,Oxford Mining Co LLC,Normal Operation
Yongsheng Coal Mine,Coal Mine,China (Mainland),Coal,Guizhou Yongfu Mining Co Ltd,Under Construction
Tadkeshwar Coal Mine,Coal Mine,India,Coal,Gujarat Mineral Development Corp Ltd,Normal Operation
Ukruglestroy Coal Mine,Coal Mine,Ukraine,Coal,Ukruglestroy Ojsc,Normal Operation
Bevins Branch Coal Mine,Coal Mine,United States,Coal,Kentucky Fuel Corp,Normal Operation
Tetariyakhar Coal Mine,Coal Mine,India,Coal,Central Coalfields Ltd,Under Construction
Carrio Coal Mine,Coal Mine,Spain,Coal,Hulleras del Norte SA (Hunosa),Normal Operation
Johnscreek Energy Coal Mine,Coal Mine,United States,Coal,Sidney Coal Company Inc,Temporarily Closed
Buruglekompleks Coal Mines,Coal Mine,Ukraine,Coal,Ministry Of Coal Industry (Ukraine),Temporarily Closed
Alardinskaya Coal Mine,Coal Mine,Russia,Coal,Yuzhkuzbassugol Associated Coal Company OJSC,Normal Operation
R & R No 30 Coal Mine,Coal Mine,United States,Coal,R & R Mining Inc,Normal Operation
Sosnica-Makoszowy 32 Thermal Coal Mine,Coal Mine,Poland,Coal,Sosnica-Makoszowy Coal Mine,Normal Operation
Stratford Thermal Coal Mine,Coal Mine,Australia,Coal,Yancoal Australia Ltd,Normal Operation
Wildcat Hills UG Coal Mine,Coal Mine,United States,Coal,Peabody Energy Corp,Care and Maintenance
Twin Rocks Coal Mine,Coal Mine,United States,Coal,Rosebud Mining Co,Normal Operation
Phoenix (US) Coal Mine,Coal Mine,United States,Coal,Phoenix Mining Corp,Normal Operation
National Coal No 11 Coal Mine,Coal Mine,United States,Coal,National Coal LLC,Temporarily Closed
Band Mill 2 Coal Mine,Coal Mine,United States,Coal,Cumberland River Coal Complex,Temporarily Closed
Collingwood Coal Deposit,Coal Mine,Australia,Coal,Cockatoo Coal Ltd,Conceptual project
Buckingham No 2 Coal Mine,Coal Mine,United States,Coal,Buckingham Coal Co Inc,Normal Operation
Nusa Persada Resources,Coal Mine,Indonesia,Coal,Indo Tambangraya Megah Tbk PT,Normal Operation
S-4 Netley Branch Coal Mine,Coal Mine,United States,Coal,Revelation Energy LLC,Normal Operation
Mimosa No 3 Coal Mine,Coal Mine,Mexico,Coal,Minerales De Monclova SA de CV,Normal Operation
Welgedacht Coal Mine,Coal Mine,South Africa,Coal,Welgedacht Exploration Company Ltd,Normal Operation
Lovers Gap No 3 Coal Mine,Coal Mine,United States,Coal,Paramont Coal Mines,Temporarily Closed
Vakilpalli BG Coal Mine,Coal Mine,India,Coal,Singareni Midwestcollieries Co Ltd,Under Construction
Humphreys No 1 Coal Mine,Coal Mine,United States,Coal,Humphreys Enterprises Inc,Temporarily Closed
"Severnaya, Lugansk Coal Mine",Coal Mine,Ukraine,Coal,Krasnodonvugillia Coal Mining Company JSC,Temporarily Closed
Slip Ridge Cedar Grove Coal Mine,Coal Mine,United States,Coal,Marfork Coal Co Inc,Normal Operation
Buckskin Coal Mine,Coal Mine,United States,Coal,Kiewit Mining Group Inc,Normal Operation
Tikhmenevsky-3 open pit coal mine,Coal Mine,Russia,Coal,Central Coal Company,Normal Operation
Bielszowice 32 Thermal Coal Mine,Coal Mine,Poland,Coal,Bielszowice Coal Mine,Normal Operation
Elko,Coal Mine,Canada,Coal,Pacific American Holdings Ltd,Conceptual project
Trudarmeysky open pit coal mine,Coal Mine,Russia,Coal,Trudarmeysky mine,Normal Operation
Drake Coal Deposit,Coal Mine,Australia,Coal,Qcoal Pty Ltd,Conceptual project
Kirovskoye Coal Mine,Coal Mine,Ukraine,Coal,Kirovskoye Mining Department Sojsc,Temporarily Closed
No. 10 (Bear Ridge Upper Banner),Coal Mine,United States,Coal,Alpha Metallurgical Resources Inc,Normal Operation
South Rand Coal Deposit,Coal Mine,South Africa,Coal,Anglo Inyosi Coal,Conceptual project
Sara Buffels Coal Deposit,Coal Mine,South Africa,Coal,Xstrata Coal South Africa Pty Ltd,Conceptual project
Ulan West Coal Mine,Coal Mine,Australia,Coal,Glencore PLC,Normal Operation
Dzhergalan Coal Mine,Coal Mine,Kyrgyzstan,Coal,Dzhergalan Mine State Jsc,Normal Operation
Bhelatand Coal Mine,Coal Mine,India,Coal,Tata Steel Ltd,Normal Operation
Torony Coal Mine,Coal Mine,Hungary,Coal,State of Hungary,"Project, no spec"
Knyagininskaya Coal Mine,Coal Mine,Ukraine,Coal,Donbassantratsit State Holding Co,Normal Operation
Dogwood No 3 Coal Mine,Coal Mine,United States,Coal,Old Dominion,Normal Operation
Westmoreland County Strips Coal Mine,Coal Mine,United States,Coal,AMERIKOHL MINING INC.,Normal Operation
"Pioner (Hydrauli, Dobropolieugol) Coal Mine",Coal Mine,Ukraine,Coal,Dobropoljevugol State Holding Co,Normal Operation
Western Arctic Coal Deposit,Coal Mine,United States,Coal,Arctic Slope Regional Corporation,Conceptual project
Union Coal Deposit,Coal Mine,Mongolia,Coal,Peabody Polo Resources BV,Conceptual project
Josephine No 3x Coal Mine,Coal Mine,United States,Coal,Pocahontas Coal Co LLC,Normal Operation
Citra Harita Coal Mine,Coal Mine,Indonesia,Coal,PT Citra Harita Mineral,Temporarily Closed
Bumbun Coal Deposit,Coal Mine,Indonesia,Coal,Maruwai (IndoMet) Coal Complex,Conceptual project
Hillalong MDL324 UG Coal Mine,Coal Mine,Australia,Coal,Rocklands Richfield Ltd,Conceptual project
Belozerskaya Coal Mine,Coal Mine,Ukraine,Coal,Dobropoljevugol State Holding Co,Normal Operation
Tusky No 1 Coal Mine,Coal Mine,United States,Coal,Rosebud Mining Co,Normal Operation
No 130 Coal Mine,Coal Mine,United States,Coal,Mammoth Coal Co,Temporarily Closed
Chapudi Coal Deposit,Coal Mine,South Africa,Coal,Kwezi Mining (Pty) Ltd,Prefeasibility
Wandoan Coal Deposit,Coal Mine,Australia,Coal,Xstrata Coal Queensland Pty Ltd,Feasibility
Ruban Mine,Coal Mine,Russia,Coal,SUEK-Kuzbass,Normal Operation
KIM BLOK(PT Kuansing Inti Makmur-Blok),Coal Mine,Indonesia,Coal,Golden Energy Mines Tbk PT,Normal Operation
Canterbury,Coal Mine,New Zealand,Coal,Bathurst Resources Ltd,Care and Maintenance
Prosperity Coal Mine,Coal Mine,United States,Coal,Five Star Mining Inc,Normal Operation
Sebakis Coal Mine,Coal Mine,Indonesia,Coal,PT Pipit Mutiara Jaya,Normal Operation
Red Oak Job No 5 Coal Mine,Coal Mine,United States,Coal,B&W Resources Inc,Normal Operation
Candice No 2 Coal Mine,Coal Mine,United States,Coal,Long Branch Energy Corp,Normal Operation
Road Fork 52,Coal Mine,United States,Coal,Alpha Metallurgical Resources Inc,Normal Operation
Cumnock No 1 Metallurgical Coal Mine,Coal Mine,Australia,Coal,Cumnock No 1 Coal Mine,Normal Operation
Parkway Coal Mine,Coal Mine,United States,Coal,Armstrong Energy Inc.,Normal Operation
CSM Thermal Coal Mine,Coal Mine,Czech Republic,Coal,CSM Coal Mine,Normal Operation
CAM Marion Branch Coal Mine,Coal Mine,United States,Coal,CAM (Central Appalachian Mining) Coal Mines,Temporarily Closed
"Rumyantsev, Artemugol Coal Mine",Coal Mine,Ukraine,Coal,Artemugol Coal Mines,Normal Operation
Deerlick Coal Mine,Coal Mine,United States,Coal,Cahaba Resources LLC,Normal Operation
Amelia (North) Coal Deposit,Coal Mine,India,Coal,Madhya Pradesh Jaypee Minerals Ltd,Conceptual project
Middle Fork Coal Mine,Coal Mine,United States,Coal,ICG Hazard LLC,Temporarily Closed
Valakish Coal Mine,Coal Mine,Kyrgyzstan,Coal,Kyzyl-Kiyakomur OAO,Normal Operation
Duvannaya (Krasnodonugol) Coal Mine,Coal Mine,Ukraine,Coal,Krasnodonugol Coal Mines,Normal Operation
Garzweiler No 1 Coal Mine,Coal Mine,Germany,Coal,RWE Power,Temporarily Closed
PBS No 1 Coal Mine,Coal Mine,United States,Coal,PBS Coals Coal Mines,Temporarily Closed
Carlos Coal Mine,Coal Mine,United States,Coal,Vindex Coal Mines,Normal Operation
Pelma Coal Mine,Coal Mine,India,Coal,South Eastern Coalfields Ltd,Under Construction
Putoilovskaya Coal Mine,Coal Mine,Ukraine,Coal,Putoilovskaya LLC,Normal Operation
Red Hill (BHP) Coal Deposit,Coal Mine,Australia,Coal,Central Queensland Coal Associates,Conceptual project
Cottage Grove,Coal Mine,United States,Coal,Peabody Energy Corp,Care and Maintenance
Sanborn Creek Coal Mine,Coal Mine,United States,Coal,Oxbow Mining Co,Temporarily Closed
Perspectivny Open Coal Mine,Coal Mine,Russia,Coal,Susumanzoloto OJSC,Normal Operation
Tshikondeni Metallurgical Coal Mine,Coal Mine,South Africa,Coal,Tshikondeni Coal Mine,Normal Operation
Huayingshan Coal Mines,Coal Mine,China (Mainland),Coal,Huayingshan Mining Bureau,Normal Operation
Ciricovak Coal Mine,Coal Mine,Serbia,Coal,Electric Power Industry of Serbia,Reduced Output - Planned Closure
Tuncbilek OP Coal Mine,Coal Mine,Turkey,Coal,Tuncbilek Coal Mine,Normal Operation
Northern Galilee,Coal Mine,Australia,Coal,Terracom Ltd,Feasibility
Knapdaar Coal Deposit,Coal Mine,South Africa,Coal,Continental Coal Ltd,Conceptual project
Trudarmeysky Yuzhny open pit coal mine,Coal Mine,Russia,Coal,Trudarmeysky Yuzhny open pit coal mine,Normal Operation
Krasnokutskaya Coal Mine,Coal Mine,Ukraine,Coal,Donbassantratsit State Holding Co,Normal Operation
Mooifontein/Sterkfontein Coal Deposit,Coal Mine,South Africa,Coal,Xstrata Coal South Africa Pty Ltd,Conceptual project
Mt Arthur Coal,Coal Mine,Australia,Coal,BHP Billiton Mitsubishi Alliance,Normal Operation
Lekhapani Coal Deposit,Coal Mine,India,Coal,North Eastern Coalfields Ltd,Feasibility
Sycamore No 2 (Buchannon) Coal Mine,Coal Mine,United States,Coal,Sycamore Group,Normal Operation
American Eagle Coal Mine,Coal Mine,United States,Coal,Speed Mining Inc,Normal Operation
Kurakhovskaya Coal Mine,Coal Mine,Ukraine,Coal,Kurakhovskaya Mine Sojsc,Normal Operation
Deep Mine 41,Coal Mine,United States,Coal,Alpha Metallurgical Resources Inc,Normal Operation
South Central Coal Mine,Coal Mine,United States,Coal,South Central Coal Co Inc,Temporarily Closed
Sidney Coal Mines (x Rockhouse),Coal Mine,United States,Coal,Sidney Coal Co  Inc,Normal Operation
Promtsentr Coal Mine,Coal Mine,Ukraine,Coal,Promtsentr Co Private Enterprise,Normal Operation
Huanghuashan Coal Mine,Coal Mine,China (Mainland),Coal,Tongliao City Heng Yuan Mining Co Ltd,Prefeasibility
Nuurstei ,Coal Mine,Mongolia,Coal,Aspire Mining Ltd,Conceptual project
TCM Coal Deposit,Coal Mine,Indonesia,Coal,Pan Asia Corporation Ltd,Prefeasibility
Bledsoe Coal Mines,Coal Mine,United States,Coal,Bledsoe Coal Corp,Temporarily Closed
Cottbus-Nord Coal Mine,Coal Mine,Germany,Coal,Vattenfall Europe AG,Normal Operation
Butovskaya (Ukr) Coal Mine,Coal Mine,Ukraine,Coal,Makeevugol State Enterprise,Normal Operation
Davy Branch,Coal Mine,United States,Coal,Alpha Metallurgical Resources Inc,Normal Operation
Kunusturia Block UG Coal Deposit,Coal Mine,India,Coal,Eastern Coalfields Ltd,Feasibility
Halemba-Wirek 34 Metallurgical Coal Mine,Coal Mine,Poland,Coal,Halemba-Wirek Coal Mine,Normal Operation
Kimbolton Coal Mine,Coal Mine,Australia,Coal,Cornwall Coal Co NL,Normal Operation
"Zarechnaya, Lvovugol Coal Mine",Coal Mine,Ukraine,Coal,Lvovugol State Enterprise,Normal Operation
Dry Branch Coal Mine,Coal Mine,United States,Coal,ArcelorMittal Princeton,Normal Operation
Imaloto Coal Deposit,Coal Mine,Madagascar,Coal,Lemur Resources Ltd,Conceptual project
South Field Coal Mine,Coal Mine,Greece,Coal,Public Power Corp SA,Normal Operation
Sese Coal Deposit,Coal Mine,Botswana,Coal,African Energy Resources Ltd,Feasibility
Mine named after Yalevsky,Coal Mine,Russia,Coal,SUEK-Kuzbass,Normal Operation
Big Creek No 2 Coal Mine,Coal Mine,United States,Coal,Mammoth Coal Co,Temporarily Closed
Augusta South Coal Mine,Coal Mine,United States,Coal,Triad Mining Coal Mines,Temporarily Closed
Amonate Coal Mine,Coal Mine,United States,Coal,CONSOL Energy Inc,Temporarily Closed
Moatize Metallurgical Coal Mine,Coal Mine,Mozambique,Coal,Moatize Coal Mine,Under Construction
Dafeng Coal Mine,Coal Mine,China (Mainland),Coal,National Energy Group Ningxia Coal Industry Co Ltd,Normal Operation
New Denmark Coal Mine,Coal Mine,South Africa,Coal,Anglo Coal South Africa,Normal Operation
Clementine Coal Mine,Coal Mine,United States,Coal,Rosebud Mining Co,Normal Operation
Dominion No 36 Coal Mine,Coal Mine,United States,Coal,Dominion Coal Corp,Normal Operation
Teguh/Firman Coal Mine,Coal Mine,Indonesia,Coal,"PT Bayan Resources, Tbk",Normal Operation
Big Laurel No 2 Coal Mine,Coal Mine,United States,Coal,Big Laurel Mining Corp,Normal Operation
Poltavskaya Coal Mine,Coal Mine,Ukraine,Coal,Ordzhonikidzevuhillia DP,Normal Operation
Mill Creek Coal Mine,Coal Mine,United States,Coal,Trc Mining Corp,Normal Operation
PBS Coals Coal Mines,Coal Mine,United States,Coal,PBS Coals Inc,Normal Operation
Galway Guajira Coal Deposit,Coal Mine,Colombia,Coal,Galway Resources Ltd,Conceptual project
Jmac No 1 Coal Mine,Coal Mine,United States,Coal,Jmac Leasing Inc,Temporarily Closed
Soumber Coal Deposit,Coal Mine,Mongolia,Coal,SouthGobi Resources Ltd,Conceptual project
Tenas,Coal Mine,Canada,Coal,Allegiance Coal Ltd,Prefeasibility
Vermont East/Willunga Coal Deposit,Coal Mine,Australia,Coal,Peabody Energy Australia PCI Pty Ltd,Prefeasibility
Tarrawonga Underground Coal Deposit,Coal Mine,Australia,Coal,Whitehaven Coal Ltd,Normal Operation
Energo-Alliance Coal Mine,Coal Mine,Ukraine,Coal,Energo-Alliance LLC,Normal Operation
Feller No 2 Strip Coal Mine,Coal Mine,United States,Coal,Cooney Bros Coal Co,Normal Operation
Miller,Coal Mine,United States,Coal,County International Ltd,Conceptual project
Shakhtoupravleniye Vostochnoye,Coal Mine,Russia,Coal,Shakhtoupravleniye Vostochnoye,Normal Operation
Cactus Ridge Coal Mine,Coal Mine,United States,Coal,Extra Energy Inc,Normal Operation
Karviná Coal Mine,Coal Mine,Czech Republic,Coal,Ostravsko Karvinske Doly As,Normal Operation
Darmin Coal Mine,Coal Mine,Ukraine,Coal,Darmin LLC,Normal Operation
Ruteks Coal Mine,Coal Mine,Ukraine,Coal,Ruteks Production Financial Co,Normal Operation
Tennyson Coal Deposit,Coal Mine,Australia,Coal,Stanmore Coal Ltd,Conceptual project
Petrosani Coal Mines,Coal Mine,Romania,Coal,National Hard Coal Co Petrosani,Normal Operation
Jaganathpur (Mahan III & IV) Coal Mine,Coal Mine,India,Coal,South Eastern Coalfields Ltd,Under Construction
Mammoth Coal Complex,Coal Mine,United States,Coal,Mammoth Coal Co,Normal Operation
Emma Coal Mine,Coal Mine,Spain,Coal,Endesa Coal Mines,Normal Operation
Hazard Job No 6 Coal Mine,Coal Mine,United States,Coal,J & G Holdings LLC,Normal Operation
