Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity,Region PADD
Shandong Kenli (Shandong Kenli Petrochemical Group Co Ltd),Oil Refinery,East China,Oil / Oil Products,Shandong Kenli Petrochemical Group Co Ltd,Normal Operation,"61,083.00 Barrels/day",
Krasnodarskiy (Afipskiy) Refinery (SAFMAR),Oil Refinery,Southern Federal District,Oil / Oil Products,SAFMAR,Normal Operation,"62,000.00 Barrels/day",
Valdez (Petro Star Incorporated),Oil Refinery,Alaska,Oil / Oil Products,Petro Star Incorporated,Normal Operation,"60,000.00 Barrels/day",West Coast (PADD V)
Tomskneftegazpererabotka LLC (Tomsky refinery LLC) (Zap Sib NPZ OOO),Oil Refinery,Siberian Federal District,Oil / Oil Products,Zap Sib NPZ OOO,Cancelled,"60,000.00 Barrels/day",
Dakar (Societe Des Petroles Du Senegal),Oil Refinery,Senegal,Oil / Oil Products,Societe Des Petroles Du Senegal,Cancelled,"60,000.00 Barrels/day",
Lianyungang Refinery (Jiangsu Xinhai Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Jiangsu Xinhai Petrochemical Company Limited,Normal Operation,"60,000.00 Barrels/day",
Yaysky (Neftekhimservice OOO),Oil Refinery,Central Federal District,Oil / Oil Products,Neftekhimservice OOO,Normal Operation,"60,000.00 Barrels/day",
Lavan (Lavan Oil Refining Company),Oil Refinery,Iran,Oil / Oil Products,Lavan Oil Refining Company,Normal Operation,"60,000.00 Barrels/day",
Zhirnovsk Refinery (Yuzhnorusskiy NPZ OOO),Oil Refinery,Southern Federal District,Oil / Oil Products,Yuzhnorusskiy NPZ OOO,Cancelled,"60,000.00 Barrels/day",
Dongying (Qirun) Refinery (Dongying Qirun Chemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Dongying Qirun Chemical Company Limited,Normal Operation,"60,000.00 Barrels/day",
Huanghua Refinery (Hebei Qianhai Petrochemical Group Company Limited),Oil Refinery,East China,Oil / Oil Products,Hebei Qianhai Petrochemical Group Company Limited,Mothballed,"60,000.00 Barrels/day",
Dongying Refinery (Shandong Dongfang Hualong Industry and Trade Group Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Shandong Dongfang Hualong Industry and Trade Group Company Limited,Normal Operation,"60,000.00 Barrels/day",
Mantua (IES Italiana Energia e Servizi SpA),Oil Refinery,Italy,Oil / Oil Products,IES Italiana Energia e Servizi SpA,Normal Operation,"60,000.00 Barrels/day",
Najaf Refinery (Midland Refineries Company),Oil Refinery,Iraq,Oil / Oil Products,Midland Refineries Company,Normal Operation,"60,000.00 Barrels/day",
Zibo Qingyuan Refinery (Shandong Qingyuan Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Shandong Qingyuan Petrochemical Company Limited,Normal Operation,"60,000.00 Barrels/day",
Dukan Refinery (Kurd Oil Company),Oil Refinery,Iraq,Oil / Oil Products,Kurd Oil Company,Normal Operation,"60,000.00 Barrels/day",
Mouza Kund Refinery II (Cinergyco PK Ltd),Oil Refinery,Pakistan,Oil / Oil Products,Cinergyco PK Ltd,Normal Operation,"60,000.00 Barrels/day",
Shreveport (Calumet Specialty Products Partners LP),Oil Refinery,Louisiana,Oil / Oil Products,Calumet Specialty Products Partners LP,Normal Operation,"60,000.00 Barrels/day",Gulf Coast (PADD III)
Toyoma (Nippon Oil),Oil Refinery,Japan,Oil / Oil Products,Nippon Oil,Normal Operation,"60,000.00 Barrels/day",
Astrakhan Refinery (AGPZ) (Gazprom Pererabotka OOO),Oil Refinery,Southern Federal District,Oil / Oil Products,Gazprom Pererabotka OOO,Normal Operation,"60,000.00 Barrels/day",
El Harrach (Sonatrach),Oil Refinery,Algeria,Oil / Oil Products,Sonatrach,Not Applicable,"59,000.00 Barrels/day",
Nynashamn Refinery (Nynas Petroleum),Oil Refinery,Sweden,Oil / Oil Products,Nynas Petroleum,Normal Operation,"59,000.00 Barrels/day",
Billings (ExxonMobil Corporation),Oil Refinery,Montana,Oil / Oil Products,ExxonMobil Corporation,Normal Operation,"58,000.00 Barrels/day",Rockies (PADD IV)
Varennes (Petromont Inc),Oil Refinery,Canada,Oil / Oil Products,Petromont Inc,Not Applicable,"58,000.00 Barrels/day",
Billings (Phillips 66),Oil Refinery,Montana,Oil / Oil Products,Phillips 66,Normal Operation,"55,000.00 Barrels/day",Rockies (PADD IV)
El Paso North Refinery (Marathon Petroleum Corp),Oil Refinery,Texas,Oil / Oil Products,Marathon Petroleum Corp,Normal Operation,"56,000.00 Barrels/day",Gulf Coast (PADD III)
Paulsboro Refinery (CPI Operations),Oil Refinery,New Jersey,Oil / Oil Products,CPI Operations,Normal Operation,"55,000.00 Barrels/day",East Coast (PADD I)
Tanta (Cairo Oil Refining Company),Oil Refinery,Egypt,Oil / Oil Products,Cairo Oil Refining Company,Normal Operation,"54,000.00 Barrels/day",
Salt Lake City (Chevron Corporation),Oil Refinery,Utah,Oil / Oil Products,Chevron Corporation,Normal Operation,"54,500.00 Barrels/day",Rockies (PADD IV)
RECAP Refinery (Petroleo Brasileiro SA Petrobras),Oil Refinery,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Normal Operation,"53,000.00 Barrels/day",
Rawalpindi (Attock Refinery Limited),Oil Refinery,Pakistan,Oil / Oil Products,Attock Refinery Limited,Normal Operation,"53,400.00 Barrels/day",
Fengli Refinery (Henan Fengli Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Henan Fengli Petrochemical Company Limited,Normal Operation,"52,000.00 Barrels/day",
Tacoma (Par Pacific Holdings Inc),Oil Refinery,Washington,Oil / Oil Products,Par Pacific Holdings Inc,Normal Operation,"52,000.00 Barrels/day",West Coast (PADD V)
Novi Sad Refinery (Gazprom Neft PAO),Oil Refinery,Serbia,Oil / Oil Products,Gazprom Neft PAO,Mothballed,"52,000.00 Barrels/day",
San Lorenzo (YPF SA),Oil Refinery,Argentina,Oil / Oil Products,YPF SA,Mothballed,"51,000.00 Barrels/day",
Samir Sidi Kacem (Corral Petroleum Holdings AB),Oil Refinery,Morocco,Oil / Oil Products,Corral Petroleum Holdings AB,Not Applicable,"50,000.00 Barrels/day",
Nadvirna Refinery (Ukrtatnafta),Oil Refinery,Ukraine,Oil / Oil Products,Ukrtatnafta,Not Applicable,"50,000.00 Barrels/day",
Galveston Crude Refinery (Texas International Terminals),Oil Refinery,Texas,Oil / Oil Products,Texas International Terminals,Normal Operation,"50,000.00 Barrels/day",Gulf Coast (PADD III)
Yumen Refinery (PetroChina Yumen Oilfield Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,PetroChina Yumen Oilfield Company Limited,Normal Operation,"50,000.00 Barrels/day",
Buckeye Texas Processing EF90 Corpus Christi Facility (BTP) (Buckeye Texas Processing LLC),Oil Refinery,Texas,Oil / Oil Products,Buckeye Texas Processing LLC,Normal Operation,"50,000.00 Barrels/day",Gulf Coast (PADD III)
Hassi-Messaoud Nr 1 & 2 (Sonatrach),Oil Refinery,Algeria,Oil / Oil Products,Sonatrach,Normal Operation,"50,000.00 Barrels/day",
La Teja Refinery (Administracion Nacional de Combustibles Alcohol y Portland),Oil Refinery,Uruguay,Oil / Oil Products,Administracion Nacional de Combustibles Alcohol y Portland,Normal Operation,"50,000.00 Barrels/day",
Burnaby (Parkland Fuel Corp),Oil Refinery,Canada,Oil / Oil Products,Parkland Fuel Corp,Normal Operation,"50,000.00 Barrels/day",
Kermanshah (Kermanshah Oil Refining Company (KORC)),Oil Refinery,Iran,Oil / Oil Products,Kermanshah Oil Refining Company (KORC),Normal Operation,"50,000.00 Barrels/day",
Kemaman Bitumen Refinery (Kemaman Bitumen Company Sendirian Berhad),Oil Refinery,Malaysia,Oil / Oil Products,Kemaman Bitumen Company Sendirian Berhad,Normal Operation,"50,000.00 Barrels/day",
Corpus Christi Condensate Splitter (Magellan Midstream Partners LP),Oil Refinery,Texas,Oil / Oil Products,Magellan Midstream Partners LP,Normal Operation,"50,000.00 Barrels/day",Gulf Coast (PADD III)
Kertih Refinery (Petronas Penapisan (Terengganu) Sendirian Berhad),Oil Refinery,Malaysia,Oil / Oil Products,Petronas Penapisan (Terengganu) Sendirian Berhad,Normal Operation,"49,000.00 Barrels/day",
Gualberto Villarroel Refinery (Yacimientos Petroliferos Fiscales Bolivianos),Oil Refinery,Bolivia,Oil / Oil Products,Yacimientos Petroliferos Fiscales Bolivianos,Normal Operation,"49,500.00 Barrels/day",
Weifang Refinery (Shandong Haihua Group Petroleum and Chemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Shandong Haihua Group Petroleum and Chemical Company Limited,Normal Operation,"48,000.00 Barrels/day",
Petrotel-Lukoil Refinery (Lukoil PJSC),Oil Refinery,Romania,Oil / Oil Products,Lukoil PJSC,Normal Operation,"48,000.00 Barrels/day",
RU II - Sungai Pakning (PT Pertamina Persero),Oil Refinery,Indonesia,Oil / Oil Products,PT Pertamina Persero,Normal Operation,"47,500.00 Barrels/day",
Bahia Blanca Refinery (Trafigura Pte Ltd),Oil Refinery,Argentina,Oil / Oil Products,Trafigura Pte Ltd,Normal Operation,"47,000.00 Barrels/day",
Casper Refinery (HF Sinclair Corporation),Oil Refinery,Wyoming,Oil / Oil Products,HF Sinclair Corporation,Normal Operation,"47,500.00 Barrels/day",Rockies (PADD IV)
Laurel (Cenex Harvest States Incorporated),Oil Refinery,Montana,Oil / Oil Products,Cenex Harvest States Incorporated,Normal Operation,"47,000.00 Barrels/day",Rockies (PADD IV)
REMAN (Petroleo Brasileiro SA Petrobras),Oil Refinery,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Normal Operation,"45,800.00 Barrels/day",
Drogobych (NPK-Galichina OAO),Oil Refinery,Ukraine,Oil / Oil Products,NPK-Galichina OAO,Mothballed,"46,000.00 Barrels/day",
Woods Cross (HF Sinclair Corporation),Oil Refinery,Utah,Oil / Oil Products,HF Sinclair Corporation,Normal Operation,"45,000.00 Barrels/day",Rockies (PADD IV)
La Libertad (Empresa Estatal Petroleos del Ecuador),Oil Refinery,Ecuador,Oil / Oil Products,Empresa Estatal Petroleos del Ecuador,Normal Operation,"45,400.00 Barrels/day",
Port Sudan (Regional Petroleum Products Corporation),Oil Refinery,Sudan,Oil / Oil Products,Regional Petroleum Products Corporation,Mothballed,"45,000.00 Barrels/day",
Bakersfield (San Joaquin Refining Co Inc),Oil Refinery,California,Oil / Oil Products,San Joaquin Refining Co Inc,Normal Operation,"44,300.00 Barrels/day",West Coast (PADD V)
Shengli Refinery (Sinopec Shengli Oilfield Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Shengli Oilfield Company Limited,Normal Operation,"44,000.00 Barrels/day",
Can Tho (Can Tho Oil Refinery Limited),Oil Refinery,Vietnam,Oil / Oil Products,Can Tho Oil Refinery Limited,Cancelled,"40,000.00 Barrels/day",
Kherson (GROUP Continuum),Oil Refinery,Ukraine,Oil / Oil Products,GROUP Continuum,Mothballed,"40,000.00 Barrels/day",
Samawah (Midland Refineries Company),Oil Refinery,Iraq,Oil / Oil Products,Midland Refineries Company,Normal Operation,"40,000.00 Barrels/day",
Shushufindi (EP Petroecuador),Oil Refinery,Ecuador,Oil / Oil Products,EP Petroecuador,Normal Operation,"40,000.00 Barrels/day",
Dongfang (CNOOC Dongfang Petrochemical Company Limited),Oil Refinery,South-Central China,Oil / Oil Products,CNOOC Dongfang Petrochemical Company Limited,Normal Operation,"40,000.00 Barrels/day",
Elobeid Refinery (Ministry of Mines Industry and Energy),Oil Refinery,Sudan,Oil / Oil Products,Ministry of Mines Industry and Energy,Mothballed,"40,000.00 Barrels/day",
Siniya Refinery (North Refineries Co),Oil Refinery,Iraq,Oil / Oil Products,North Refineries Co,Normal Operation,"40,000.00 Barrels/day",
AIG (Ativo Industrial Guamare - RPCC) (Petroleo Brasileiro SA Petrobras),Oil Refinery,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Normal Operation,"37,000.00 Barrels/day",
Changchun (Nongan) Refinery (Changchun Xinda Petroleum Group Co Ltd),Oil Refinery,China (Mainland),Oil / Oil Products,Changchun Xinda Petroleum Group Co Ltd,Normal Operation,"36,000.00 Barrels/day",
Habana Nico Lopez (CUPET),Oil Refinery,Cuba,Oil / Oil Products,CUPET,Normal Operation,"36,000.00 Barrels/day",
Saint Rose Asphalt Plant (International Matex Tank Terminals),Oil Refinery,Louisiana,Oil / Oil Products,International Matex Tank Terminals,Mothballed,"36,000.00 Barrels/day",Gulf Coast (PADD III)
Cangzhou (-),Oil Refinery,China (Mainland),Oil / Oil Products,-,Not Applicable,"36,000.00 Barrels/day",
Kingston (Petroleum Corporation of Jamaica),Oil Refinery,Jamaica,Oil / Oil Products,Petroleum Corporation of Jamaica,Normal Operation,"35,000.00 Barrels/day",
Mount Vernon (Countrymark Cooperative Inc),Oil Refinery,Indiana,Oil / Oil Products,Countrymark Cooperative Inc,Normal Operation,"35,000.00 Barrels/day",Midwest (PADD II)
Mouza Kund Refinery I (Cnergyico Pk Limited),Oil Refinery,Pakistan,Oil / Oil Products,Cnergyico Pk Limited,Normal Operation,"35,000.00 Barrels/day",
Santo Domingo Dominican (Refineria Dominicana de Petroleo Refidomsa PDV SA),Oil Refinery,Dominican Republic,Oil / Oil Products,Refineria Dominicana de Petroleo Refidomsa PDV SA,Normal Operation,"34,000.00 Barrels/day",
Iplom (Iplom SpA),Oil Refinery,Italy,Oil / Oil Products,Iplom SpA,Normal Operation,"34,000.00 Barrels/day",
Digboi (Indian Oil Corporation Ltd),Oil Refinery,India,Oil / Oil Products,Indian Oil Corporation Ltd,Normal Operation,"33,000.00 Barrels/day",
Port Moresby Refinery (Napa Napa Refinery) (Puma Energy (Singapore) Pte Ltd),Oil Refinery,Papua New Guinea,Oil / Oil Products,Puma Energy (Singapore) Pte Ltd,Mothballed,"32,500.00 Barrels/day",
Denver Refinery - Plant 1 (West) (Suncor Energy Incorporated),Oil Refinery,Colorado,Oil / Oil Products,Suncor Energy Incorporated,Normal Operation,"32,000.00 Barrels/day",Rockies (PADD IV)
Lloydminster (Husky Energy Inc),Oil Refinery,Canada,Oil / Oil Products,Husky Energy Inc,Normal Operation,"31,500.00 Barrels/day",
Severny Kuzbass refinery LLC (Kholdingovaya Kompaniya Kem-Oyl Grupp OOO),Oil Refinery,Russia,Oil / Oil Products,Kholdingovaya Kompaniya Kem-Oyl Grupp OOO,Not Applicable,"32,000.00 Barrels/day",
North Salt Lake (Big West Oil LLC),Oil Refinery,Utah,Oil / Oil Products,Big West Oil LLC,Normal Operation,"31,000.00 Barrels/day",Rockies (PADD IV)
VKG Shale Oil Refinery (-),Oil Refinery,Finland,Oil / Oil Products,-,Planned,"31,434.00 Barrels/day",
Dongying Refinery (-),Oil Refinery,China (Mainland),Oil / Oil Products,-,Not Applicable,"30,000.00 Barrels/day",
Slavyansk ECO LLC (Slavyansk Eko OOO),Oil Refinery,Russia,Oil / Oil Products,Slavyansk Eko OOO,Not Applicable,"30,000.00 Barrels/day",
Diwaniya Refinery (Midland Refineries Company),Oil Refinery,Iraq,Oil / Oil Products,Midland Refineries Company,Normal Operation,"30,000.00 Barrels/day",
Golmud (Qinghai) Refinery (PetroChina Qinghai Oilfield Company),Oil Refinery,China (Mainland),Oil / Oil Products,PetroChina Qinghai Oilfield Company,Normal Operation,"30,000.00 Barrels/day",
Lovington Refinery (Navajo Refining Company LP),Oil Refinery,New Mexico,Oil / Oil Products,Navajo Refining Company LP,Normal Operation,"30,000.00 Barrels/day",Gulf Coast (PADD III)
Gatchina Refinery (SibRosPererabotka CJSC),Oil Refinery,Russia,Oil / Oil Products,SibRosPererabotka CJSC,On Hold,"30,000.00 Barrels/day",
Corpus Christi Refinery (Pin Oak Corpus Christi LLC),Oil Refinery,Texas,Oil / Oil Products,Pin Oak Corpus Christi LLC,Not Applicable,"30,000.00 Barrels/day",Gulf Coast (PADD III)
Dongying Refinery (-),Oil Refinery,China (Mainland),Oil / Oil Products,-,Not Applicable,"30,000.00 Barrels/day",
OKTA Skopje Refinery (HELLENiQ ENERGY Holdings SA),Oil Refinery,North Macedonia,Oil / Oil Products,HELLENiQ ENERGY Holdings SA,Mothballed,"30,000.00 Barrels/day",
Jedlicze (Orlen Poludnie SA),Oil Refinery,Poland,Oil / Oil Products,Orlen Poludnie SA,Normal Operation,"28,000.00 Barrels/day",
Lake Charles Refinery (Pelican Refining LLC),Oil Refinery,Louisiana,Oil / Oil Products,Pelican Refining LLC,Mothballed,"27,000.00 Barrels/day",Gulf Coast (PADD III)
Bakersfield (Kern Oil & Refining Company),Oil Refinery,California,Oil / Oil Products,Kern Oil & Refining Company,Normal Operation,"27,000.00 Barrels/day",West Coast (PADD V)
Plaza Huincul (YPF SA),Oil Refinery,Argentina,Oil / Oil Products,YPF SA,Normal Operation,"25,160.00 Barrels/day",
Great Falls Refinery (Calumet Montana Refining LLC),Oil Refinery,Montana,Oil / Oil Products,Calumet Montana Refining LLC,Normal Operation,"25,000.00 Barrels/day",Rockies (PADD IV)
Campo Duran (Refinor),Oil Refinery,Argentina,Oil / Oil Products,Refinor,Normal Operation,"25,000.00 Barrels/day",
Refinery #3 Thanbaykan Petrochemical Complex (Myanmar Petrochemical Enterprise),Oil Refinery,Myanmar,Oil / Oil Products,Myanmar Petrochemical Enterprise,Normal Operation,"25,000.00 Barrels/day",
Vicksburg (Ergon),Oil Refinery,Mississippi,Oil / Oil Products,Ergon,Normal Operation,"25,000.00 Barrels/day",Gulf Coast (PADD III)
Tobruk (Arabian Gulf Oil Company),Oil Refinery,Libya,Oil / Oil Products,Arabian Gulf Oil Company,Normal Operation,"25,000.00 Barrels/day",
Houston Fractionation Refinery (Petromax Refining LLC),Oil Refinery,Texas,Oil / Oil Products,Petromax Refining LLC,Normal Operation,"25,000.00 Barrels/day",Gulf Coast (PADD III)
Guwahati (Indian Oil Corporation Ltd),Oil Refinery,India,Oil / Oil Products,Indian Oil Corporation Ltd,Normal Operation,"24,000.00 Barrels/day",
Huai'an Refinery (Sinopec Qingjiang Petrochemical Co Ltd),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Qingjiang Petrochemical Co Ltd,Normal Operation,"24,000.00 Barrels/day",
Managua Refinery (MANREF) (Puma Energy International),Oil Refinery,Nicaragua,Oil / Oil Products,Puma Energy International,Normal Operation,"24,000.00 Barrels/day",
Guillermo Elder Bell Refinery (Yacimientos Petroliferos Fiscales Bolivianos),Oil Refinery,Bolivia,Oil / Oil Products,Yacimientos Petroliferos Fiscales Bolivianos,Normal Operation,"24,000.00 Barrels/day",
Liaocheng Refinery (Shandong Shenxian Huaxiang Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Shandong Shenxian Huaxiang Petrochemical Company Limited,Normal Operation,"24,000.00 Barrels/day",
Zhuhai Refinery (Zhuhai Huafeng Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Zhuhai Huafeng Petrochemical Company Limited,Normal Operation,"24,000.00 Barrels/day",
Congo Refinery (Ergon),Oil Refinery,West Virginia,Oil / Oil Products,Ergon,Normal Operation,"23,000.00 Barrels/day",East Coast (PADD I)
Moose Jaw Asphalt Refinery (Gibson Energy Inc),Oil Refinery,Canada,Oil / Oil Products,Gibson Energy Inc,Normal Operation,"22,000.00 Barrels/day",
Batman (Koc Holding AS),Oil Refinery,Turkey,Oil / Oil Products,Koc Holding AS,Normal Operation,"22,014.00 Barrels/day",
North Pole (Petro Star Incorporated),Oil Refinery,Alaska,Oil / Oil Products,Petro Star Incorporated,Normal Operation,"22,000.00 Barrels/day",West Coast (PADD V)
Pointe Noire (Congolaise De Raffinage),Oil Refinery,Congo (RC),Oil / Oil Products,Congolaise De Raffinage,Normal Operation,"21,000.00 Barrels/day",
Port Gentil Refinery (Sogara) (Societe Gabonaise de Raffinage SA),Oil Refinery,Gabon,Oil / Oil Products,Societe Gabonaise de Raffinage SA,Normal Operation,"21,000.00 Barrels/day",
Newcastle (Wyoming Refining),Oil Refinery,Wyoming,Oil / Oil Products,Wyoming Refining,Normal Operation,"20,000.00 Barrels/day",Rockies (PADD IV)
Dongying Refinery (Shandong Wantong Petroleumchemical Group Co Ltd),Oil Refinery,China (Mainland),Oil / Oil Products,Shandong Wantong Petroleumchemical Group Co Ltd,Not Applicable,"20,000.00 Barrels/day",
Eastham (Shell Plc),Oil Refinery,United Kingdom,Oil / Oil Products,Shell Plc,Normal Operation,"20,000.00 Barrels/day",
"Pardubice (PARAMO, a.s.)",Oil Refinery,Czech Republic,Oil / Oil Products,"PARAMO, a.s.",Normal Operation,"20,000.00 Barrels/day",
Manguinhos Refinery (Refit) (Refit Refinery),Oil Refinery,Brazil,Oil / Oil Products,Refit Refinery,Normal Operation,"20,000.00 Barrels/day",
Zinder Refinery (Societe de Raffinage de Zinder),Oil Refinery,Niger,Oil / Oil Products,Societe de Raffinage de Zinder,Normal Operation,"20,000.00 Barrels/day",
Tiandong Refinery (PetroChina Guangxi Tiandong Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,PetroChina Guangxi Tiandong Petrochemical Company Limited,Mothballed,"20,000.00 Barrels/day",
Yingkou Xianren Island Refinery (China Offshore Bitumen Yingkou Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,China Offshore Bitumen Yingkou Company Limited,Normal Operation,"20,000.00 Barrels/day",
N Djamena Refinery (Societe de raffinage de N'Djamena (SRN)),Oil Refinery,Chad,Oil / Oil Products,Societe de raffinage de N'Djamena (SRN),Normal Operation,"20,000.00 Barrels/day",
Astra (Interagro SA),Oil Refinery,Romania,Oil / Oil Products,Interagro SA,Not Applicable,"20,000.00 Barrels/day",
Soraz (China National Petroleum Corp Ltd),Oil Refinery,Niger,Oil / Oil Products,China National Petroleum Corp Ltd,Normal Operation,"20,000.00 Barrels/day",
San Antonio (The San Antonio Refinery LLC),Oil Refinery,Texas,Oil / Oil Products,The San Antonio Refinery LLC,Normal Operation,"20,000.00 Barrels/day",Gulf Coast (PADD III)
Wenzhou Refinery (Wenzhou PetroChina Fuel Asphalt Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Wenzhou PetroChina Fuel Asphalt Company Limited,Normal Operation,"20,000.00 Barrels/day",
Shouguang Refinery (Shouguang Lianmeng Petroleum & Chemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Shouguang Lianmeng Petroleum & Chemical Company Limited,Cancelled,"20,000.00 Barrels/day",
Gregorio (Enap Refinerias SA),Oil Refinery,Chile,Oil / Oil Products,Enap Refinerias SA,Normal Operation,"17,600.00 Barrels/day",
Staatsolie Refinery (Staatsolie Maatschappij Suriname NV),Oil Refinery,Suriname,Oil / Oil Products,Staatsolie Maatschappij Suriname NV,Normal Operation,"17,000.00 Barrels/day",
Cotton Valley (Calumet Specialty Products Partners LP),Oil Refinery,Louisiana,Oil / Oil Products,Calumet Specialty Products Partners LP,Normal Operation,"16,500.00 Barrels/day",Gulf Coast (PADD III)
Antilles Refinery (SARA (Societe Anonyme de la Raffinerie des Antilles)),Oil Refinery,Martinique,Oil / Oil Products,SARA (Societe Anonyme de la Raffinerie des Antilles),Normal Operation,"16,000.00 Barrels/day",
Yaroslavl Mendeleev Refinery (LLC Yaroslavskiy OPNMZ im. Mendeleev),Oil Refinery,Central Federal District,Oil / Oil Products,LLC Yaroslavskiy OPNMZ im. Mendeleev,Normal Operation,"16,000.00 Barrels/day",
Mississauga (HollyFrontier Corp),Oil Refinery,Canada,Oil / Oil Products,HollyFrontier Corp,Not Applicable,"15,600.00 Barrels/day",
Conchan Refinery (Petroperu SA),Oil Refinery,Peru,Oil / Oil Products,Petroperu SA,Normal Operation,"15,500.00 Barrels/day",
Nixon Refinery (Lazarus Energy LLC),Oil Refinery,Texas,Oil / Oil Products,Lazarus Energy LLC,Normal Operation,"15,000.00 Barrels/day",Gulf Coast (PADD III)
Paramo (Orlen Unipetrol RPA sro),Oil Refinery,Czech Republic,Oil / Oil Products,Orlen Unipetrol RPA sro,Normal Operation,"15,000.00 Barrels/day",
Hermanos Diaz (CUPET),Oil Refinery,Cuba,Oil / Oil Products,CUPET,Normal Operation,"15,000.00 Barrels/day",
Petrolsub Suplacu de Barcau (OMV Petrom SA),Oil Refinery,Romania,Oil / Oil Products,OMV Petrom SA,Not Applicable,"15,000.00 Barrels/day",
Riograndense Refinery (Refinaria de Petroleo Riograndense SA),Oil Refinery,Brazil,Oil / Oil Products,Refinaria de Petroleo Riograndense SA,Normal Operation,"14,200.00 Barrels/day",
Prudhoe Bay (Hilcorp Alaska LLC),Oil Refinery,Alaska,Oil / Oil Products,Hilcorp Alaska LLC,Normal Operation,"14,000.00 Barrels/day",West Coast (PADD V)
Benicia Asphalt Refinery (Valero Refining Co),Oil Refinery,California,Oil / Oil Products,Valero Refining Co,Normal Operation,"13,000.00 Barrels/day",West Coast (PADD V)
Strezhevskoy (Strezhevskoy NPZ OOO),Oil Refinery,Russia,Oil / Oil Products,Strezhevskoy NPZ OOO,Not Applicable,"12,800.00 Barrels/day",
Woods Cross (Silver Eagle Refining Incorporated),Oil Refinery,Utah,Oil / Oil Products,Silver Eagle Refining Incorporated,Normal Operation,"12,500.00 Barrels/day",Rockies (PADD IV)
Tomasina Refinery (Galana Petroleum Ltd),Oil Refinery,Madagascar,Oil / Oil Products,Galana Petroleum Ltd,Not Applicable,"12,000.00 Barrels/day",
Kochenevskiy Refinery (VPK-Oil LLC),Oil Refinery,Siberian Federal District,Oil / Oil Products,VPK-Oil LLC,Normal Operation,"12,000.00 Barrels/day",
Bradford Refinery (American Refining Group Incorporated),Oil Refinery,Pennsylvania,Oil / Oil Products,American Refining Group Incorporated,Normal Operation,"12,000.00 Barrels/day",East Coast (PADD I)
Vanino Refinery (Transbunker-Vanino ZAO),Oil Refinery,Far Eastern Federal District,Oil / Oil Products,Transbunker-Vanino ZAO,Normal Operation,"12,000.00 Barrels/day",
Prince George (Tidewater Midstream and Infrastructure),Oil Refinery,Canada,Oil / Oil Products,Tidewater Midstream and Infrastructure,Normal Operation,"11,000.00 Barrels/day",
Alma Petroli (Alma Petroli S p A),Oil Refinery,Italy,Oil / Oil Products,Alma Petroli S p A,Normal Operation,"10,900.00 Barrels/day",
Iquitos Refinery (Petroperu SA),Oil Refinery,Peru,Oil / Oil Products,Petroperu SA,Normal Operation,"10,500.00 Barrels/day",
Sandersville (Hunt Refining Co),Oil Refinery,Mississippi,Oil / Oil Products,Hunt Refining Co,Normal Operation,"10,000.00 Barrels/day",Gulf Coast (PADD III)
Princeton (Calumet Specialty Products Partners LP),Oil Refinery,Louisiana,Oil / Oil Products,Calumet Specialty Products Partners LP,Normal Operation,"10,000.00 Barrels/day",Gulf Coast (PADD III)
Sarir (Arabian Gulf Oil Company),Oil Refinery,Libya,Oil / Oil Products,Arabian Gulf Oil Company,Normal Operation,"10,000.00 Barrels/day",
RU VII - Kasim Refinery (PT Pertamina Persero),Oil Refinery,Indonesia,Oil / Oil Products,PT Pertamina Persero,Normal Operation,"10,000.00 Barrels/day",
Kashi Tarim Southwest (Zepu) Refinery (Tarim Southwest Exploratory Development Company),Oil Refinery,East China,Oil / Oil Products,Tarim Southwest Exploratory Development Company,Normal Operation,"10,000.00 Barrels/day",
Volkhovneftekhim LLC (Volkhovneftekhim OOO),Oil Refinery,Russia,Oil / Oil Products,Volkhovneftekhim OOO,Not Applicable,"10,000.00 Barrels/day",
Wadi Feiran (El Nasr Petroleum Co),Oil Refinery,Egypt,Oil / Oil Products,El Nasr Petroleum Co,Normal Operation,"10,000.00 Barrels/day",
Marsa El Brega Refinery (Sirte Oil Company),Oil Refinery,Libya,Oil / Oil Products,Sirte Oil Company,Normal Operation,"9,200.00 Barrels/day",
