Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity (Barrels),Region PADD,Primary Shareholders
Big Spring (Delek US Holdings) - Terminal,Loading Facility,Texas,Oil / Oil Products,Delek US Holdings,Unknown,--,,Delek
El Dorado (HF Sinclair Corp) - Boilers,Unclassified Unit,Kansas,Oil / Oil Products,HollyFrontier Corp,Unknown,--,,HollyFrontier Corp
Gdansk (Grupa Lotos SA) - CDU/VDU (120),Distillation Unit,Poland,Oil / Oil Products,Lotos Oil SA,Unknown,--,,Lotos
Ryazan refinery (Ryazan NPK CJSC) - ABT-3 (Crude 3),Distillation Unit,Central Federal District,Oil / Oil Products,Ryazan NPK CJSC,Unknown,--,,TNK-BP
McPherson (CENEX HARVEST STATES) - Vacuum Distillation,Distillation Unit,Kansas,Oil / Oil Products,CENEX HARVEST STATES,Unknown,--,,NCRA
Rodeo (Phillips 66) - GEN A CT/HRSG,Power Generator,California,Oil / Oil Products,Phillips 66,Unknown,--,,Phillips 66 Ltd
Warren Refinery (United Refining Company) - FCCU,Catalytic Cracker Unit,Pennsylvania,Oil / Oil Products,United Refining Company,Unknown,--,,United Refining Co
RECAP Refinery (Petroleo Brasileiro SA Petrobras) - Resid FCCU,Catalytic Cracker Unit,Brazil,Oil / Oil Products,Petrobras,Unknown,--,,Petrobras
Petromidia Refinery (Rompetrol Rafinare SA) - Flare,Unclassified Unit,Romania,Oil / Oil Products,Oilfield Exploration Business Solutions SA,Unknown,--,,Oilfield Exploration Business Solutions SA
Rawalpindi (Attock Refinery Limited) - CDU 2 (HBU 2),Distillation Unit,Pakistan,Oil / Oil Products,Attock Refinery Limited,Unknown,--,,Attock Refinery Ltd (Arl)
Puertollano (Repsol Petroleo SA) - Flare,Unclassified Unit,Spain,Oil / Oil Products,Repsol Petroleo SA,Unknown,--,,Repsol
Los Angeles Refinery - Wilmington (Phillips 66) - SRU 1,Sulfur Plant,California,Oil / Oil Products,Phillips 66 Co,Unknown,--,,Phillips 66 Ltd
St1 Gothenburg (St1 Refinery AB) - Claus,Sulfur Plant,Sweden,Oil / Oil Products,St1 Refinery AB,Unknown,--,,St1 Energy AB
PetroIneos Lavera Refinery (Petroineos Manufacturing France SAS) - Flare C,Unclassified Unit,,Oil / Oil Products,Petroineos Manufacturing France SAS,Unknown,--,,INEOS Group Holdings Ltd
Geelong (Viva Energy Australia Group Pty Ltd) - Tank Farm,Tank Farm,Australia,Oil / Oil Products,Royal Dutch Shell PLC,Unknown,--,,Shell
Szazhalombatta Duna Refinery (MOL Magyar Olajes Gazipari Nyrt) - Gasoline Blending Unit,Unclassified Unit,Hungary,Oil / Oil Products,MOL Szazhalombatta,Unknown,--,,MOL
Plock (PKN Orlen SA) - Hydrosulfreen II,Unclassified Unit,Poland,Oil / Oil Products,Eb TlZ/Pkn Orlen,Unknown,--,,PKN Orlen
Negishi (ENEOS Corporation) - Negishi IGCC 01 CT/HRSG/ST,Power Generator,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,JXTG Nippon Oil & Energy Corp
Tarragona (Repsol Petroleo SA) - HDS Naphtha (Unifining) (651),Hydrotreater Unit,Spain,Oil / Oil Products,Repsol Petroleo SA,Unknown,--,,Repsol
Sendai Refinery (ENEOS Corporation) - Gasoline Hydrodesulfurization Unit,Hydrotreater Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,JXTG Nippon Oil & Energy Corp
Karamay (PetroChina Karamay Petrochemical Company) - CDU 2,Distillation Unit,China (Mainland),Oil / Oil Products,PetroChina Karamay Petrochemical Company,Unknown,--,,PetroChina
Gelsenkirchen Scholven Refinery (BP PLC) - Cumene 1,Unclassified Unit,Germany,Oil / Oil Products,BP PLC,Unknown,--,,BP PLC
Sines (Galp Energia SGPS SA) - Hydrogen,Hydrogen Plant,Portugal,Oil / Oil Products,Galp Energia SGPS SA,Unknown,--,,Petrogal SA
Saint John Refinery (Irving Oil Limited) - Dewaxing,Lube Plant,Canada,Oil / Oil Products,Irving Oil Ltd,Unknown,--,,Irving Oil
Par East Refinery (Par Hawaii Refining LLC) - Fuel Treating Plant,Gas Processing / Treating Unit,Hawaii,Oil / Oil Products,Par Hawaii Refining LLC,Unknown,--,,Andeavor
Whiting (BP Products North America Incorporated) - PGP,Unclassified Unit,Indiana,Oil / Oil Products,BP PLC,Unknown,--,,BP PLC
Lake Charles (Calcasieu Refining Co) - Crude Topping 2,Distillation Unit,Louisiana,Oil / Oil Products,Calcasieu Refining Co,Unknown,--,,Calcasieu Refining
Sarnia (Suncor Energy Incorporated) - Hydrogen,Hydrogen Plant,Canada,Oil / Oil Products,Suncor Energy Inc,Unknown,--,,Suncor Energy Inc
Visakhapatnam (Hindustan Petroleum Corporation Limited) - Cooling Towers,Unclassified Unit,India,Oil / Oil Products,Hindustan Petroleum Corporation Limited,Unknown,--,,Hindustan Petroleum Corp Ltd
Jedlicze (Orlen Poludnie SA) - SRU (Sulfur Recovery Unit),Sulfur Plant,Poland,Oil / Oil Products,Orlen Poludnie SA,Unknown,--,,PKN Orlen
Wood River (WRB Refining LP) - SGP Saturates Gas Plant,Gas Processing / Treating Unit,Illinois,Oil / Oil Products,WRB Refining LP,Unknown,--,,Phillips 66 Ltd
Pascagoula (Chevron Corporation) - Rheniformer 1 (15 & 115 Plant),Reformer Unit,Mississippi,Oil / Oil Products,Chevron Corporation,Unknown,--,,Chevron Corp
Mina Al-Ahmadi (Kuwait National Petroleum Company) - Naphtha Hydrotreater Unit 1,Hydrotreater Unit,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Unknown,--,,Kuwaiti National Petroleum Co
Gonfreville Refinery (Normandie) (Total Refining & Chemicals Saudi Arabia Sas) - Hydro 1 (Hydrofinishing),Hydrotreater Unit,,Oil / Oil Products,Total Gonfreville,Unknown,--,,Total
Jinling (Sinopec Jinling Petrochemical Co Ltd) - CCR 1,Reformer Unit,China (Mainland),Oil / Oil Products,Sinopec Jinling Petrochemical Co Ltd,Unknown,--,,Sinopec Corp
Sakai (Cosmo Oil Company Limited) - No.2 Hydrogen Producing Unit (2HP),Hydrogen Plant,Japan,Oil / Oil Products,Cosmo Oil Co Ltd,Unknown,--,,Cosmo Oil
Denver Refinery - Plant 2 (East) (Suncor Energy Incorporated) - Amine MDEA,Gas Processing / Treating Unit,Colorado,Oil / Oil Products,Suncor Energy Incorporated,Unknown,--,,Suncor Energy Inc
Mina Abdulla Refinery (Kuwait National Petroleum Company) - DCU 2 (Unit 20- Train 2),Coker Unit,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Unknown,--,,Kuwaiti National Petroleum Co
Aconcagua Refinery (Enap Refinerias SA) - SF Alkylation,Alkylate Plant,Chile,Oil / Oil Products,ENAP Refinerias SA,Unknown,--,,Empresa Nacional de Petroleo Concon Refinery
Holborn Refinery (Holborn Europa Raffinerie GmbH) - Vacuum,Distillation Unit,Germany,Oil / Oil Products,Holborn Europa Raffinerie GmbH,Unknown,--,,Tamoil
Benicia Asphalt Refinery (Valero Refining Co) - Truck Loading Rack,Loading Facility,California,Oil / Oil Products,Valero Refining Co,Unknown,--,,Valero Energy Corporation
Campana Refinery (Axion Energy Argentina SA) - HT (Aromatics),Hydrotreater Unit,Argentina,Oil / Oil Products,Axion Energy Argentina SA,Unknown,--,,BRIDAS CORP-SOUTH AMERICAN OIL
Melaka Refinery PSR-2 (Malaysia Refining Company Sendirian Berhad) - Thermal Cracking,Thermal Cracker Unit,Malaysia,Oil / Oil Products,Malaysia Refining Company Sendirian Berhad,Unknown,--,,Petronas
Anqing (Sinopec Anqing Company Limited) - CDU 1,Distillation Unit,China (Mainland),Oil / Oil Products,Sinopec Anqing Company Limited,Unknown,--,,China Petroleum & Chemical Corporation
Taranto (Eni Spa) - Unit 9000 EST (Mild Hydrocracker),Hydrocracker Unit,Italy,Oil / Oil Products,Eni Spa,Unknown,--,,Eni SpA
Sakai (ENEOS Corporation) - Fluid Catalytic Cracking Unit,Catalytic Cracker Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,Exxon Mobil Uk
Lytton (Ampol Refineries (QLD) Pty Ltd) - HF Alkylation,Alkylate Plant,Australia,Oil / Oil Products,Caltex Refineries (QLD) Pty Ltd,Unknown,--,,Chevron Corp
Wood River (WRB Refining LP) - Diesel ULSD 2,Hydrotreater Unit,Illinois,Oil / Oil Products,WRB Refining LP,Unknown,--,,Phillips 66 Ltd
Zhuhai Yulong Refinery (China Grain Petrochemical (Zhuhai) Group Company Limited) - Sulfur Recovery Unit 1,Sulfur Plant,China (Mainland),Oil / Oil Products,Baota Petrochemical Group,Unknown,--,,
Rheinland Godorf Refinery (North) (Shell Deutschland Oil GmbH) - Tank Farm,Tank Farm,Germany,Oil / Oil Products,Royal Dutch Shell PLC,Unknown,--,,Shell
Moscow Refinery (Gazprom Neft PAO) - Biological Wastewater Treatment,Water Treatment Unit,Russia,Oil / Oil Products,Gazprom Neft PJSC,Unknown,--,,Gazprom Neft
Haldia (Indian Oil Corporation Ltd) - Propane Deasphalting Unit (Unit 32),Lube Plant,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,--,,Indian Oil Corp
Wynnewood (CVR Energy Incorporated) - Gasoline Terminal,Tank Farm,Oklahoma,Oil / Oil Products,CVR Energy Inc,Unknown,--,,CVR Energy Inc
Aspropyrgos (Hellenic Petroleum S A) - PSA (Pressure Swing Absorption),Hydrogen Plant,Greece,Oil / Oil Products,HELLENIC ASPROPYRGOS SA,Unknown,--,,Hellenic
Fredericia (Postlane Partners) - Platformer,Reformer Unit,Denmark,Oil / Oil Products,Royal Dutch Shell PLC,Unknown,--,,Royal Dutch Shell PLC
Rabigh (Rabigh Refining and Petrochemical Company SJSC) - Naphtha Merox,Gas Processing / Treating Unit,Saudi Arabia,Oil / Oil Products,Rabigh Refining and Petrochemical Company SJSC,Unknown,--,,Sumitomo Chemical
Marsa El Brega Refinery (Sirte Oil Company) - Naphtha Hydrofining Unit,Hydrotreater Unit,Libya,Oil / Oil Products,Sirte Oil Company,Unknown,--,,National Oil Corporation
Milazzo (Raffineria di Milazzo SpA) - U093 Scot SRU 2,Gas Processing / Treating Unit,Italy,Oil / Oil Products,Raffineria di Milazzo SpA,Unknown,--,,Eni SpA
Dushanzi (PetroChina Dushanzi Petrochemical Company) - CCR 1,Reformer Unit,China (Mainland),Oil / Oil Products,PetroChina Dushanzi Petrochemical Company,Unknown,--,,PetroChina
Daurah (Midland Refineries Company) - Lube Hydrofinishing Unit 1,Lube Plant,Iraq,Oil / Oil Products,Midland Refineries Company,Unknown,--,,Iraq National Oil Co (Inoc)
Manali (Chennai Petroleum Corporation Ltd) - NMP Extraction Unit,Lube Plant,India,Oil / Oil Products,Chennai Petroleum Corporation Ltd,Unknown,--,,Indian Oil Corp
Salt Lake City (Marathon Petroleum Corporation) - Ultraformer (UFU),Reformer Unit,Utah,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,--,,Andeavor
Canton (Marathon Petroleum Corp) - Vacuum Distillation,Distillation Unit,Ohio,Oil / Oil Products,Marathon Petroleum Corp,Unknown,--,,Marathon Petroleum Corp
Refineria Ingeniero Antonio Dovali Jaime (Salina Cruz) (Pemex Transformacion Industrial) - HDS Unit 300-1,Hydrotreater Unit,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Unknown,--,,Pemex
Quanzhou Refinery (Fujian Refining & Petrochemical Company Limited) - Diesel Hydrotreater 1,Hydrotreater Unit,China (Mainland),Oil / Oil Products,Fujian Refining & Petrochemical Company Limited,Unknown,--,,Exxon Mobil Corp
McKee Refinery (Valero Refining Company) - SF Alkylation,Alkylate Plant,Texas,Oil / Oil Products,Valero Refining Company,Unknown,--,,Valero Energy Corp
Jinan Refinery (SINOPEC Jinan Company Limited) - CDU 1,Distillation Unit,China (Mainland),Oil / Oil Products,SINOPEC Jinan Company Limited,Unknown,--,,China Petroleum & Chemical Corporation
Corpus Christi Refinery - West (Flint Hills Resources LLC) - Udex (Aromatics Prep),Gasoline Additive Unit,Texas,Oil / Oil Products,Flint Hills Resources LP,Unknown,--,,Flint Hills Resources
Panipat (Indian Oil Corporation Limited) - Diethylene Glycol,Unclassified Unit,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,--,,Indian Oil Corp
Riograndense Refinery (Refinaria de Petroleo Riograndense SA) - Merox Sweeting U-9000,Unclassified Unit,Brazil,Oil / Oil Products,Refinaria Ipiranga (Petroleo Ipiranga),Unknown,--,,Ipiranga Empreendimentos Imobiliarios SPE Ltda
Coffeyville (Coffeyville Resources Refining & Marketing LLC) - SRU #3,Sulfur Plant,Kansas,Oil / Oil Products,Coffeyville Resources Refining & Marketing LLC,Unknown,--,,Coffeyville Resources
Koyali Refinery (Gujarat) (Indian Oil Corporation Ltd) - Atmospheric Distillation 5,Distillation Unit,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,--,,Indian Oil Corp
Laurel (Cenex Harvest States Incorporated) - FCCU,Catalytic Cracker Unit,Montana,Oil / Oil Products,Cenex Harvest States Incorporated,Unknown,--,,CENEX
Regina (Consumers Co Operative Refineries Ltd (Ccrl)) - SRU Train A,Sulfur Plant,Canada,Oil / Oil Products,Consumers Co Operative Refineries Ltd (Ccrl),Unknown,--,,Consumers Co Operative Refineries Ltd (Ccrl)
Samawah (Midland Refineries Company) - HDS,Hydrotreater Unit,Iraq,Oil / Oil Products,Iraq National Oil Co (Inoc),Unknown,--,,Iraq National Oil Co (Inoc)
Mobile (Vertex Energy) - Naphtha Splitter,Petrochemical Plant,Alabama,Oil / Oil Products,Gulf Atlantic Refining & Marketing LP,Unknown,--,,Gulf Atlantic Refining & Marketing LP
Jamnagar (Reliance Industries Limited) - Crude Unit 2,Distillation Unit,India,Oil / Oil Products,Reliance Industries Limited,Unknown,--,,Reliance Industries Ltd
Sines (Galp Energia SGPS SA) - Platformer,Reformer Unit,Portugal,Oil / Oil Products,Galp Energia SGPS SA,Unknown,--,,Petrogal SA
Lloydminster Upgrader - Hydrocracker Reaction (Train 1) (Plant 21),Hydrocracker Unit,Canada,Oil / Oil Products,,Unknown,--,,
Laurel (Cenex Harvest States Incorporated) - PSA 2,Hydrogen Plant,Montana,Oil / Oil Products,Cenex Harvest States Co Op,Unknown,--,,CENEX
Robinson (Marathon Petroleum Corporation) - Naphtha HT (Reformer Feed),Hydrotreater Unit,Illinois,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,--,,Marathon Petroleum Corp
Chalmette (Chalmette Refining LLC) - LPG Rail Car Loading Rack,Loading Facility,Louisiana,Oil / Oil Products,Chalmette Refining LLC,Unknown,--,,PBF Energy Inc
Guangzhou (China Petroleum & Chemical Corporation) - CDU 1,Distillation Unit,China (Mainland),Oil / Oil Products,Sinopec Corp,Unknown,--,,Sinopec Corp
Schwechat (OMV AG) - Bitumen Plant,Unclassified Unit,Austria,Oil / Oil Products,OMV AG,Unknown,--,,OMV
Salt Lake City (Chevron Corporation) - Blending,Unclassified Unit,Utah,Oil / Oil Products,Chevron Corporation,Unknown,--,,Chevron Corp
Jurong Island Refinery (Singapore Refining Company Pte Ltd) - CDU 2,Distillation Unit,Singapore,Oil / Oil Products,Singapore Refining Company Pte Ltd,Unknown,--,,Spc
Nynashamn Refinery (Nynas Petroleum) - Sulphur Recovery Unit,Sulfur Plant,Sweden,Oil / Oil Products,Nynas Petroleum,Unknown,--,,PDVSA
La Rabida Refinery (Cepsa SA) - Morphylane,Gasoline Additive Unit,Spain,Oil / Oil Products,Cepsa SA,Unknown,--,,Cepsa
Catlettsburg Refinery 1 - South (Marathon) - Dewaxer,Lube Plant,Kentucky,Oil / Oil Products,Marathon,Unknown,--,,Marathon Petroleum Corp
McKee Refinery (Valero Refining Company) - Gasoline Desulfurizer,Hydrotreater Unit,Texas,Oil / Oil Products,Valero Refining Company,Unknown,--,,Valero Energy Corp
Seosan Daesan Refinery (Hyundai Oilbank Company Limited) - GHT (Gasoil Hydrotreating) Unit 1,Hydrotreater Unit,South Korea,Oil / Oil Products,Hyundai Oilbank Co Ltd,Unknown,--,,Hyundai Oil
Elefsina Refinery (HELLENiQ ENERGY Holdings SA) - Ship Loading,Loading Facility,Greece,Oil / Oil Products,Hellenic Petroleum SA,Unknown,--,,Hellenic
REPAR Refinery (Petroleo Brasileiro SA Petrobras) - Coked Naphtha Hydrotreater (U-2315),Hydrotreater Unit,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Unknown,--,,Petrobras
Mumbai (Hindustan Petroleum Corporation Limited) - CDU 1 (FR),Distillation Unit,India,Oil / Oil Products,Hindustan Petroleum Corporation Limited,Unknown,--,,Hindustan Petroleum Corp Ltd
Shikoku (Taiyo Oil Co Ltd) - CCR Reformer,Reformer Unit,Japan,Oil / Oil Products,Taiyo Oil Co Ltd,Unknown,--,,Taiyo Oil Co
Dung Quat (Binh Son Refining and Petrochemical Joint Stock Co) - Amine Regeneration Unit 019,Gas Processing / Treating Unit,Vietnam,Oil / Oil Products,Binh Son Refining and Petrochemical Joint Stock Co,Unknown,--,,Petrovietnam
Huludao Refinery (Petrochina Jinxi Petrochemical Design House) - Crude Unit 2,Distillation Unit,North-East China,Oil / Oil Products,Petrochina Jinxi Petrochemical Design House,Unknown,--,,China National Petroleum Corporation
REVAP Refinery (Petroleo Brasileiro SA Petrobras) - SRU 1,Sulfur Plant,Brazil,Oil / Oil Products,Petrobras,Unknown,--,,Petrobras
Port Arthur (Valero Refining Company-California) - VGO Hydrocracker Unit 943,Hydrocracker Unit,Texas,Oil / Oil Products,Valero Refining Company-California,Unknown,--,,Valero Energy Corp
Casper Refinery (HF Sinclair Corporation) - Vacuum Distillation (Crude 4),Distillation Unit,Wyoming,Oil / Oil Products,Sinclair Oil Corp,Unknown,--,,Sinclair Oil Corp
Port Allen (Placid Refining Company LLC) - Barge Dock,Loading Facility,Louisiana,Oil / Oil Products,Placid Refining Company LLC,Unknown,--,,Placid Refining Company LLC
Refineria Francisco I Madero (Ciudad Madero) (Pemex Transformacion Industrial) - HDS Unit 501 (Diesel/Kerosene),Hydrotreater Unit,Mexico,Oil / Oil Products,Pemex Transformacion Industrial,Unknown,--,,Pemex
Tulsa East (HF Sinclair Corporation) - Sour Water Stripper,Water Treatment Unit,Oklahoma,Oil / Oil Products,HollyFrontier Corp,Unknown,--,,HollyFrontier Corp
Muroran (Eneos Corp) - Fluid Catalytic Cracking Unit,Catalytic Cracker Unit,Japan,Oil / Oil Products,JX Nippon Oil & Energy Corp,Unknown,--,,JX Nippon Oil & Energy Corp
Mozyr (Mozyr Oil Refinery JSC) - AT-4 (Crude 1/C-100),Distillation Unit,Belarus,Oil / Oil Products,Mozyr Oil Refinery JSC,Unknown,--,,Slavneftekhim IP ZAO
Jinling (Sinopec Jinling Petrochemical Co Ltd) - Delayed Coker 2,Coker Unit,China (Mainland),Oil / Oil Products,Sinopec Jinling Petrochemical Co Ltd,Unknown,--,,Sinopec Corp
Mazeikiai Refinery (Orlen Lietuva AB) - Kerosene Hydrotreater (S-300/2),Hydrotreater Unit,Lithuania,Oil / Oil Products,Orlen Lietuva AB,Unknown,--,,PKN Orlen
Jurong Island (PAC) Refinery (ExxonMobil Asia Pacific Pte Ltd) - Kerosene Hydrotreater,Hydrotreater Unit,Singapore,Oil / Oil Products,ExxonMobil Asia Pacific Pte Ltd,Unknown,--,,Exxon Mobil Corp
Toledo (BP-Husky Refining LLC) - Un-Sats Gas Plant (A-Zone),Gas Processing / Treating Unit,Ohio,Oil / Oil Products,BP-Husky Refining LLC,Unknown,--,,BP PLC
Ingolstadt (Gunvor Raffinerie Ingolstadt GmbH) - Distillate Splitter,Unclassified Unit,Germany,Oil / Oil Products,Gunvor Group,Unknown,--,,Gunvor International B.V.
Pine Bend Refinery (Flint Hills Resources LLC) - Diesel ULSD HT (Unit 27),Hydrotreater Unit,Minnesota,Oil / Oil Products,Flint Hills Resources LP,Unknown,--,,Flint Hills Resources
Visakhapatnam (Hindustan Petroleum Corporation Limited) - Visakhapatnam 03 CT/HRSG,Power Generator,India,Oil / Oil Products,Hindustan Petroleum Corp Ltd,Unknown,--,,Hindustan Petroleum Corp Ltd
Refineria Miguel Hidalgo (Tula De Allende) (Pemex Transformacion Industrial) - SRU 3 (Train 2),Sulfur Plant,Mexico,Oil / Oil Products,Petroleos Mexicanos,Unknown,--,,Pemex
Saint John Refinery (Irving Oil Limited) - SRU 141,Sulfur Plant,Canada,Oil / Oil Products,Irving Oil Ltd,Unknown,--,,Irving Oil
Anacortes (Marathon Petroleum Corporation) - Vacuum Distillation,Distillation Unit,Washington,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,--,,Andeavor
Whiting (BP Products North America Incorporated) - Asphalt,Asphalt Plant,Indiana,Oil / Oil Products,BP Products North America Incorporated,Unknown,--,,BP PLC
Gelsenkirchen Scholven Refinery (BP PLC) - Loading Rack,Tank Farm,Germany,Oil / Oil Products,Ruhr Oel GmbH,Unknown,--,,
Renqiu Refinery (CNPC Huabei Petrochemical Company Limited) - Reformer 2,Reformer Unit,China (Mainland),Oil / Oil Products,CNPC Huabei Petrochemical Company Limited,Unknown,--,,China Petroleum & Chemical Corporation
Los Angeles Carson Refinery (Marathon Petroleum Corporation) - FCCU,Catalytic Cracker Unit,California,Oil / Oil Products,Marathon Petroleum Corporation,Unknown,--,,Andeavor
Keihin (Toa Oil Co Ltd) - Naphtha Hydrodesulfurization Unit,Hydrotreater Unit,Japan,Oil / Oil Products,Toa Oil Co Ltd,Unknown,--,,Toa Oil
Humber Refinery (Phillips 66) - FCCU,Catalytic Cracker Unit,United Kingdom,Oil / Oil Products,Phillips 66,Unknown,--,,Phillips 66
San Antonio (The San Antonio Refinery LLC) - Truck Loading Rack,Loading Facility,Texas,Oil / Oil Products,Calumet Specialty Products Partners LP,Unknown,--,,Calumet Lubricants Co LP
PetroIneos Lavera Refinery (Petroineos Manufacturing France SAS) - Topping 5 (Distillation-Crude),Distillation Unit,,Oil / Oil Products,Petroineos Manufacturing France SAS,Unknown,--,,INEOS Group Holdings Ltd
St1 Gothenburg (St1 Refinery AB) - Vacuum 2,Distillation Unit,Sweden,Oil / Oil Products,St1 Refinery AB,Unknown,--,,St1 Energy AB
Ulsan (SK Energy Company Limited) - Ulsan CHP 02 ST,Power Generator,South Korea,Oil / Oil Products,SK Energy Co Ltd,Unknown,--,,SK Networks Resources Australia Pty Ltd
Stanlow (Essar Oil UK) - SRU 2,Sulfur Plant,United Kingdom,Oil / Oil Products,Essar Oil UK,Unknown,--,,Nayara Energy Ltd
Pavlodar (KazMunayGas JSC) - ELOU-AV (Vacuum),Distillation Unit,Kazakhstan,Oil / Oil Products,NK KazMunayGaz AO,Unknown,--,,Samruk-Kazyna
Milazzo (Raffineria di Milazzo SpA) - U800 Merox 1 LPG,Gas Processing / Treating Unit,Italy,Oil / Oil Products,Raffineria di Milazzo SpA,Unknown,--,,Eni SpA
PetroIneos Lavera Refinery (Petroineos Manufacturing France SAS) - DSV 2 (Vacuum Distillation Unit),Distillation Unit,,Oil / Oil Products,Petroineos Manufacturing France SAS,Unknown,--,,INEOS Group Holdings Ltd
Dunkirk (TotalEnergies SE) - Tank Farm,Tank Farm,,Oil / Oil Products,Total,Unknown,--,,
Vicksburg (Ergon) - Lube Oil Finishing,Lube Plant,Mississippi,Oil / Oil Products,Ergon,Unknown,--,,Ergon
Aspropyrgos (Hellenic Petroleum S A) - Aspropyrgos 01 CT/HRSG,Power Generator,Greece,Oil / Oil Products,HELLENIC ASPROPYRGOS SA,Unknown,--,,Hellenic
Melaka Refinery PSR-1 (PETRONAS Penapisan (Malaka) Sdn Bhd) - Melaka PSR 04 CT/HRSG,Power Generator,Malaysia,Oil / Oil Products,Petronas Penapisan Melaka Sdn Bhd,Unknown,--,,Petronas
Saint John Refinery (Irving Oil Limited) - Diesel Hydrotreater 125 (Formerly Hydrocracker),Hydrotreater Unit,Canada,Oil / Oil Products,Irving Oil Ltd,Unknown,--,,Irving Oil
Mangalore (Mangalore Refinery & Petrochemicals Limited) - Amine Treatment Unit 1,Gas Processing / Treating Unit,India,Oil / Oil Products,Mangalore Refinery & Petrochemicals Limited,Unknown,--,,Oil and Natural Gas Corporation Ltd
Haldia (Indian Oil Corporation Ltd) - CDU 1 (Crude 1),Distillation Unit,India,Oil / Oil Products,Indian Oil Corporation Ltd,Unknown,--,,Indian Oil Corp
Rheinland Godorf Refinery (North) (Shell Deutschland Oil GmbH) - LPG,Gas Processing / Treating Unit,Germany,Oil / Oil Products,Shell Deutschland Oil GmbH,Unknown,--,,Shell PLC
Wood River (WRB Refining LP) - DU-4 (Sour),Distillation Unit,Illinois,Oil / Oil Products,WRB Refining LP,Unknown,--,,Phillips 66 Ltd
Tyler (Delek Refining Limited) - Crude (Area 50) (Sweet),Distillation Unit,Texas,Oil / Oil Products,Delek Refining Limited,Unknown,--,,Delek
Omsk Refinery (Gazprom Neft' PAO) - Sulfuric Acid Regeneration,Alkylate Plant,Siberian Federal District,Oil / Oil Products,Gazprom Neft' PAO,Unknown,--,,Gazprom Neft
Kawasaki (ENEOS Corporation) - Crude 3 (PSKN),Distillation Unit,Japan,Oil / Oil Products,JXTG Nippon Oil & Energy Corp,Unknown,--,,Exxon Mobil Corp
Jiujiang (Sinopec Jiujiang Co) - FCCU 2,Catalytic Cracker Unit,China (Mainland),Oil / Oil Products,Sinopec Jiujiang Co,Unknown,--,,Sinopec Corp
Santo Domingo Dominican (Refineria Dominicana de Petroleo Refidomsa PDV SA) - Santo Domingo 02,Power Generator,Dominican Republic,Oil / Oil Products,Refineria Dominicana de Petroleo S A,Unknown,--,,Estado Dominicano
Gonfreville Refinery (Normandie) (Total Refining & Chemicals Saudi Arabia Sas) - Claus 4,Sulfur Plant,,Oil / Oil Products,Total Gonfreville,Unknown,--,,Total
Cheyenne (HF Sinclair Corporation) - Tank Farm,Tank Farm,Wyoming,Oil / Oil Products,HollyFrontier Corp,Unknown,--,,Frontier Oil Corp
Port Arthur (Valero Refining Company-California) - ATU 7846 (UCRSOL),Gas Processing / Treating Unit,Texas,Oil / Oil Products,Valero Refining Company-California,Unknown,--,,Valero Energy Corp
Regina (Consumers Co Operative Refineries Ltd (Ccrl)) - Amine DGA,Gas Processing / Treating Unit,Canada,Oil / Oil Products,Consumers Co Operative Refineries Ltd (Ccrl),Unknown,--,,Consumers Co Operative Refineries Ltd (Ccrl)
Laurel (Cenex Harvest States Incorporated) - Zone A SRU Train #1,Sulfur Plant,Montana,Oil / Oil Products,Cenex Harvest States Co Op,Unknown,--,,CENEX
Deer Park (Deer Park Refining LP) - SHCU (Hydrocracker),Hydrocracker Unit,Texas,Oil / Oil Products,Deer Park Refining LP,Unknown,--,,Pemex
Joliet (Exxon Mobil Corp) - Crude (Tank Farm),Tank Farm,Illinois,Oil / Oil Products,Exxon Mobil Corp,Unknown,--,,Exxon Mobil Corp
Alexandria Refinery (APC - El-Mex) (Alexandria Petroleum Co) - Gas Recovery Unit,Unclassified Unit,Egypt,Oil / Oil Products,Alexandria Petroleum Co,Unknown,--,,Alexandria Petroleum Co
Tianjin (SINOPEC Tianjin Co) - Residual Hydrotreater,Hydrotreater Unit,China (Mainland),Oil / Oil Products,SINOPEC Tianjin Co,Unknown,--,,
Detroit (Marathon) - Unifiner Gas Oil/Diesel (ULSD),Hydrotreater Unit,Michigan,Oil / Oil Products,Marathon,Unknown,--,,Marathon Petroleum Corp
Guangzhou (China Petroleum & Chemical Corporation) - Hydrocracker 2,Hydrocracker Unit,China (Mainland),Oil / Oil Products,China Petroleum & Chemical Corporation,Unknown,--,,Sinopec Corp
