physical asset,location,ownership,commodity,status,Countries,USA states
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",Florida Power & Light Company,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",Florida Power & Light Company,Wind Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",Florida Power & Light Company,Wind Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",Florida Power & Light Company,Solar Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",Florida Power & Light Company,Solar Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",Florida Power & Light Company,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",Florida Power & Light Company,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy Resources,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy Resources,Electricity,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy Resources,Wind Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy Resources,Wind Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy Resources,Solar Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy Resources,Solar Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy Resources,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",USA,Florida
Renewable Generation Facilities,"Florida,USA,Canada,North America,Western Electricity Coordinating Council,Northeast region of the USA",NextEra Energy Resources,Renewable Energy,"Operational,End-Of-Life,Under Development,Under Construction,Unavailable",Canada,Florida
Retail Gas Distribution System,Florida,NextEra Energy,Natural Gas,Operational,USA,Florida
Retail Gas Distribution System,Florida,Florida Power & Light Company,Natural Gas,Operational,USA,Florida
Sabal Trail Transmission,USA,NextEra Energy,nan,,USA,
Seabrook Station,USA,NextEra Energy,Electricity,Operational,USA,
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy,Electricity,"Under Construction,Operational,End Of Life,Unavailable,In Operation",USA,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy,Electricity,"Under Construction,Operational,End Of Life,Unavailable,In Operation",Canada,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy,Solar Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",USA,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy,Solar Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",Canada,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy,Renewable Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",USA,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy,Renewable Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",Canada,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy Resources,Electricity,"Under Construction,Operational,End Of Life,Unavailable,In Operation",USA,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy Resources,Electricity,"Under Construction,Operational,End Of Life,Unavailable,In Operation",Canada,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy Resources,Solar Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",USA,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy Resources,Solar Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",Canada,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy Resources,Renewable Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",USA,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",NextEra Energy Resources,Renewable Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",Canada,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",Florida Power & Light Company,Electricity,"Under Construction,Operational,End Of Life,Unavailable,In Operation",USA,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",Florida Power & Light Company,Electricity,"Under Construction,Operational,End Of Life,Unavailable,In Operation",Canada,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",Florida Power & Light Company,Solar Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",USA,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",Florida Power & Light Company,Solar Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",Canada,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",Florida Power & Light Company,Renewable Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",USA,"Florida,Texas"
Solar Facilities,"USA,Canada,Florida,Ontario,Texas",Florida Power & Light Company,Renewable Energy,"Under Construction,Operational,End Of Life,Unavailable,In Operation",Canada,"Florida,Texas"
Solar Modules,,NextEra Energy,Solar Energy,Operational,nan,
St. Lucie Unit No. (Power Plant),USA,Florida Power & Light Company,Electricity,"Operational,Scheduled Refueling Outage",USA,
Trans Bay Cable DC,California,Federal Energy Regulatory Commission,nan,Operational,USA,California
Transmission And Distribution Property,Florida,NextEra Energy,Natural Gas,Operational,USA,Florida
Transmission And Distribution Property,Florida,NextEra Energy,Electricity,Operational,USA,Florida
Transmission And Distribution Property,Florida,Florida Power & Light Company,Natural Gas,Operational,USA,Florida
Transmission And Distribution Property,Florida,Florida Power & Light Company,Electricity,Operational,USA,Florida
Transmission And Distribution Property,Florida,NextEra Energy Resources,Natural Gas,Operational,USA,Florida
Transmission And Distribution Property,Florida,NextEra Energy Resources,Electricity,Operational,USA,Florida
Transmission Utilities,"Midwest,Nevada",GridLiance,Electricity,Operational,USA,Nevada
Turkey Point Unit No. (Power Plant),USA,Florida Power & Light Company,Electricity,Operational,USA,
Wind And Solar Generation Portfolio,"USA,Texas,Midwest,Nevada,Southeast Asia,Florida",NextEra Energy,Electricity,"Operational,Under Construction,Decommissioning,In Service,Under Development",USA,"Florida,Nevada,Texas"
Wind And Solar Generation Portfolio,"USA,Texas,Midwest,Nevada,Southeast Asia,Florida",NextEra Energy,Electricity,"Operational,Under Construction,Decommissioning,In Service,Under Development",Southeast Asia,"Florida,Nevada,Texas"
Wind And Solar Generation Portfolio,"USA,Texas,Midwest,Nevada,Southeast Asia,Florida",NextEra Energy,Renewable Energy,"Operational,Under Construction,Decommissioning,In Service,Under Development",USA,"Florida,Nevada,Texas"
Wind And Solar Generation Portfolio,"USA,Texas,Midwest,Nevada,Southeast Asia,Florida",NextEra Energy,Renewable Energy,"Operational,Under Construction,Decommissioning,In Service,Under Development",Southeast Asia,"Florida,Nevada,Texas"
Wind And Solar Generation Portfolio,"USA,Texas,Midwest,Nevada,Southeast Asia,Florida",NextEra Energy Resources,Electricity,"Operational,Under Construction,Decommissioning,In Service,Under Development",USA,"Florida,Nevada,Texas"
Wind And Solar Generation Portfolio,"USA,Texas,Midwest,Nevada,Southeast Asia,Florida",NextEra Energy Resources,Electricity,"Operational,Under Construction,Decommissioning,In Service,Under Development",Southeast Asia,"Florida,Nevada,Texas"
Wind And Solar Generation Portfolio,"USA,Texas,Midwest,Nevada,Southeast Asia,Florida",NextEra Energy Resources,Renewable Energy,"Operational,Under Construction,Decommissioning,In Service,Under Development",USA,"Florida,Nevada,Texas"
Wind And Solar Generation Portfolio,"USA,Texas,Midwest,Nevada,Southeast Asia,Florida",NextEra Energy Resources,Renewable Energy,"Operational,Under Construction,Decommissioning,In Service,Under Development",Southeast Asia,"Florida,Nevada,Texas"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy,Electricity,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy,Electricity,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy,Wind Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy,Wind Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy,Renewable Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy,Renewable Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy Resources,Electricity,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy Resources,Electricity,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy Resources,Wind Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy Resources,Wind Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy Resources,Renewable Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",NextEra Energy Resources,Renewable Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Florida Power & Light Company,Electricity,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Florida Power & Light Company,Electricity,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Florida Power & Light Company,Wind Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Florida Power & Light Company,Wind Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Florida Power & Light Company,Renewable Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Florida Power & Light Company,Renewable Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Gulf Power Company,Electricity,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Gulf Power Company,Electricity,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Gulf Power Company,Wind Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Gulf Power Company,Wind Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Gulf Power Company,Renewable Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",USA,"California,Florida,Nevada,Texas,Wyoming"
Wind Facilities,"USA,Canada,California,Wyoming,Florida,ERCOT,Ontario,Midwest Region of the USA,Texas,Nevada.",Gulf Power Company,Renewable Energy,"Under Construction,End-Of-Life,Operational,Decommissioning,Unavailable,In Service,Under Development,In Operation",Canada,"California,Florida,Nevada,Texas,Wyoming"
Wind Towers,,NextEra Energy,Wind Energy,Operational,nan,
Power Generation Asset (MW Capacity),SERC Reliability Corporation,NextEra Energy,nan,Operational,nan,
Storage Systems,"East Coast Of Florida,Northwest Florida",NextEra Energy,Natural Gas,Operational,USA,Florida
Storage Systems,"East Coast Of Florida,Northwest Florida",NextEra Energy,Oil,Operational,USA,Florida
Storage Systems,"East Coast Of Florida,Northwest Florida",NextEra Energy,Electricity,Operational,USA,Florida
Storage Systems,"East Coast Of Florida,Northwest Florida",Florida Power & Light Company,Natural Gas,Operational,USA,Florida
Storage Systems,"East Coast Of Florida,Northwest Florida",Florida Power & Light Company,Oil,Operational,USA,Florida
Storage Systems,"East Coast Of Florida,Northwest Florida",Florida Power & Light Company,Electricity,Operational,USA,Florida
Properties,,Florida Power & Light Company,Electricity,Operational,nan,
Electric Lines,"Midwest,Nevada",Florida Power & Light Company,Electricity,Operational,USA,Nevada
Electric Lines,"Midwest,Nevada",GridLiance,Electricity,Operational,USA,Nevada
Electric Lines,"Midwest,Nevada",NextEra Energy Transmission,Electricity,Operational,USA,Nevada
Wind Generating Projects,USA,Florida Power & Light Company,Energy,"Operational,Under Construction",USA,
Wind Generating Projects,USA,Florida Power & Light Company,Wind Power,"Operational,Under Construction",USA,
Wind Generating Projects,USA,NextEra Energy,Energy,"Operational,Under Construction",USA,
Wind Generating Projects,USA,NextEra Energy,Wind Power,"Operational,Under Construction",USA,
underwater transmission cable system,"Pittsburg To San Francisco,California",Trans Bay Cable LLC,Electricity,Operational,USA,California
Gridliance's Transmission Lines,"Six States,Midwest,Nevada,USA,Canada",GridLiance,Electricity,Operational,USA,Nevada
Gridliance's Transmission Lines,"Six States,Midwest,Nevada,USA,Canada",GridLiance,Electricity,Operational,Canada,Nevada
Gridliance's Transmission Lines,"Six States,Midwest,Nevada,USA,Canada",NextEra Energy Transmission,Electricity,Operational,USA,Nevada
Gridliance's Transmission Lines,"Six States,Midwest,Nevada,USA,Canada",NextEra Energy Transmission,Electricity,Operational,Canada,Nevada
Gridliance's Transmission Lines,"Six States,Midwest,Nevada,USA,Canada",Florida Power & Light Company,Electricity,Operational,USA,Nevada
Gridliance's Transmission Lines,"Six States,Midwest,Nevada,USA,Canada",Florida Power & Light Company,Electricity,Operational,Canada,Nevada
Gridliance's Transmission Lines,"Six States,Midwest,Nevada,USA,Canada",NextEra Energy,Electricity,Operational,USA,Nevada
Gridliance's Transmission Lines,"Six States,Midwest,Nevada,USA,Canada",NextEra Energy,Electricity,Operational,Canada,Nevada
Natural Gas Pipeline,"West Virginia,Virginia",NextEra Energy,Natural Gas,"Under Construction,Operational,Impaired",USA,"Virginia,West Virginia"
Natural Gas Pipeline,"West Virginia,Virginia",Florida Power & Light Company,Natural Gas,"Under Construction,Operational,Impaired",USA,"Virginia,West Virginia"
Natural Gas Pipeline,"West Virginia,Virginia",NextEra Energy Resources,Natural Gas,"Under Construction,Operational,Impaired",USA,"Virginia,West Virginia"
Natural Gas Production,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",NextEra Energy,Natural Gas,"Operational,Damaged",USA,Florida
Natural Gas Production,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",NextEra Energy,Electricity,"Operational,Damaged",USA,Florida
Natural Gas Production,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",Florida Power & Light Company,Natural Gas,"Operational,Damaged",USA,Florida
Natural Gas Production,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",Florida Power & Light Company,Electricity,"Operational,Damaged",USA,Florida
Transmission,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",NextEra Energy,Natural Gas,"Operational,Damaged",USA,Florida
Transmission,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",NextEra Energy,Electricity,"Operational,Damaged",USA,Florida
Transmission,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",Florida Power & Light Company,Natural Gas,"Operational,Damaged",USA,Florida
Transmission,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",Florida Power & Light Company,Electricity,"Operational,Damaged",USA,Florida
Storage Or Distribution Systems,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",NextEra Energy,Natural Gas,"Operational,Damaged",USA,Florida
Storage Or Distribution Systems,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",NextEra Energy,Electricity,"Operational,Damaged",USA,Florida
Storage Or Distribution Systems,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",Florida Power & Light Company,Natural Gas,"Operational,Damaged",USA,Florida
Storage Or Distribution Systems,"East Coast Of Florida,West Coast Of Florida,Northwest Florida",Florida Power & Light Company,Electricity,"Operational,Damaged",USA,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy,Electricity,"Operational,Under Construction,Under Development",Spain,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy,Electricity,"Operational,Under Construction,Under Development",USA,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy,Solar Energy,"Operational,Under Construction,Under Development",Spain,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy,Solar Energy,"Operational,Under Construction,Under Development",USA,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy,Renewable Energy,"Operational,Under Construction,Under Development",Spain,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy,Renewable Energy,"Operational,Under Construction,Under Development",USA,Florida
Solar Generation Additions,"Spain,Florida,USA",Florida Power & Light Company,Electricity,"Operational,Under Construction,Under Development",Spain,Florida
Solar Generation Additions,"Spain,Florida,USA",Florida Power & Light Company,Electricity,"Operational,Under Construction,Under Development",USA,Florida
Solar Generation Additions,"Spain,Florida,USA",Florida Power & Light Company,Solar Energy,"Operational,Under Construction,Under Development",Spain,Florida
Solar Generation Additions,"Spain,Florida,USA",Florida Power & Light Company,Solar Energy,"Operational,Under Construction,Under Development",USA,Florida
Solar Generation Additions,"Spain,Florida,USA",Florida Power & Light Company,Renewable Energy,"Operational,Under Construction,Under Development",Spain,Florida
Solar Generation Additions,"Spain,Florida,USA",Florida Power & Light Company,Renewable Energy,"Operational,Under Construction,Under Development",USA,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy Resources,Electricity,"Operational,Under Construction,Under Development",Spain,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy Resources,Electricity,"Operational,Under Construction,Under Development",USA,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy Resources,Solar Energy,"Operational,Under Construction,Under Development",Spain,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy Resources,Solar Energy,"Operational,Under Construction,Under Development",USA,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy Resources,Renewable Energy,"Operational,Under Construction,Under Development",Spain,Florida
Solar Generation Additions,"Spain,Florida,USA",NextEra Energy Resources,Renewable Energy,"Operational,Under Construction,Under Development",USA,Florida
Renewable Fuels,,NextEra Energy,Renewable Fuels,Operational,nan,
Renewable Fuels,,NextEra Energy,Renewable Energy,Operational,nan,
Renewable Fuels,,Florida Power & Light Company,Renewable Fuels,Operational,nan,
Renewable Fuels,,Florida Power & Light Company,Renewable Energy,Operational,nan,
Solar Plus Battery Facility,"Throughout The USA,Arizona,California",NextEra Energy,Electricity,"Operational,Under Construction",USA,"Arizona,California"
Solar Plus Battery Facility,"Throughout The USA,Arizona,California",NextEra Energy Resources,Electricity,"Operational,Under Construction",USA,"Arizona,California"
Steam Generating Capacity,,Florida Power & Light Company,Electricity,Operational,nan,
Hydrogen Facility,,Florida Power & Light Company,Electricity,Operational,nan,
Substation,Nevada,CAISO,nan,Under Construction,USA,Nevada
Uranium (Mineral),,NextEra Energy,Nuclear Fuel,Operational,nan,
